,pnl,actual_loss,VaR_DN_full,VaR_DN_nodrift,mu_deltaV,sigma_deltaV,portfolio_value_linear,exception
2018-09-19,2364.030477192999,-2364.030477192999,13575.379776836531,14000.318683319178,424.93890648264727,6018.153535653624,1944075.0632961378,0
2018-09-20,7771.7468839029625,-7771.7468839029625,13601.443557780134,14022.765462325706,421.32190454557076,6027.8024704741665,1946439.093773331,0
2018-09-21,-2079.2116972249387,2079.2116972249387,13670.356957113092,14118.054790768616,447.6978336555244,6068.763381568428,1954210.8406572337,0
2018-09-24,-3555.823372048982,3555.823372048982,13642.265040732493,14085.594998380437,443.3299576479435,6054.810269589609,1952131.628960009,0
2018-09-25,-225.44560667079077,225.44560667079077,13628.531109352112,14062.389308589787,433.85819923767446,6044.835110650743,1948575.80558796,0
2018-09-26,-3438.934761476315,3438.934761476315,13631.911319021592,14062.21595614468,430.3046371230883,6044.760593659093,1948350.3599812891,0
2018-09-27,-2940.8485443467735,2940.8485443467735,13576.432721203753,14008.889077576974,432.4563563732212,6021.837590972019,1944911.4252198127,0
2018-09-28,1320.329074595064,-1320.329074595064,13556.901069757456,13989.411822167114,432.5107524096591,6013.465130590146,1941970.576675466,0
2018-10-01,-62.61563166300812,62.61563166300812,13580.818910716669,14014.963364731933,434.14445401526484,6024.448673872706,1943290.9057500614,0
2018-10-02,6207.478903415604,-6207.478903415604,13598.462199871916,14026.842601742648,428.3804018707316,6029.555062793845,1943228.2901183981,0
2018-10-03,-5423.390065619893,5423.390065619893,13644.630652240932,14088.421745509404,443.79109326847197,6056.025370375055,1949435.7690218135,0
2018-10-04,-8213.462799713841,8213.462799713841,13650.272093340458,14079.025797570206,428.75370422974873,6051.986443934154,1944012.3789561938,0
2018-10-05,-2783.6414574971564,2783.6414574971564,13634.556123842352,14042.489101084222,407.93297724186897,6036.280840789547,1935798.9161564799,0
2018-10-08,-5666.335701010897,5666.335701010897,13619.779022887345,14017.091439087,397.3124161996546,6025.363444349991,1933015.274698983,0
2018-10-09,-577.8067381171015,577.8067381171015,13592.05738865847,13969.87620752357,377.8188188651,6005.067584005847,1927348.938997972,0
2018-10-10,-21460.234412106605,21460.234412106605,13580.963276399525,13959.673275997266,378.7099995977408,6000.681768952064,1926771.1322598548,1
2018-10-11,268.0606707025945,-268.0606707025945,13588.049183792715,13909.052352033461,321.0031682407463,5978.921943377965,1905310.8978477484,0
2018-10-12,7749.314770521911,-7749.314770521911,13489.76197537985,13823.133217612965,333.3712422331156,5941.98888818908,1905578.9585184508,0
2018-10-15,-895.6093900718824,895.6093900718824,13444.769383568417,13829.88208090978,385.112697341363,5944.889943260045,1913328.2732889727,0
2018-10-16,15017.461189556074,-15017.461189556074,13394.74903163719,13791.631793821034,396.8827621838445,5928.44773892957,1912432.663898901,0
2018-10-17,-1317.5368896043788,1317.5368896043788,13591.351269366069,14009.863439531375,418.51217016530677,6022.256428569471,1927450.125088457,0
2018-10-18,-10522.31159276993,10522.31159276993,13582.972317033682,14005.150505047992,422.1781880143097,6020.230534447627,1926132.5881988523,0
2018-10-19,-1317.3113304457215,1317.3113304457215,13539.647133079186,13937.69410210657,398.04696902738317,5991.233838083273,1915610.2766060825,0
2018-10-22,-3468.2681485646426,3468.2681485646426,13476.631544584192,13892.028129502613,415.3965849184214,5971.603939600104,1914292.9652756369,0
2018-10-23,-139.7731752322211,139.7731752322211,13443.607478109296,13836.885911905454,393.2784337961582,5947.900598318915,1910824.6971270721,0
2018-10-24,-17518.165172975696,17518.165172975696,13437.631712132446,13823.027367080624,385.39565494817754,5941.94338745657,1910684.92395184,1
2018-10-25,8388.960735129907,-8388.960735129907,13301.078424312333,13665.87136352966,364.79293921732756,5874.388571040406,1893166.7587788643,0
2018-10-26,-8935.60988185224,8935.60988185224,13419.51878862427,13810.39865879311,390.8798701688417,5936.514832067914,1901555.7195139942,0
2018-10-29,-5530.684194657664,5530.684194657664,13353.828561478378,13722.41561603244,368.5870545540624,5898.694588697414,1892620.109632142,0
2018-10-30,6191.673580257041,-6191.673580257041,13319.61521056371,13664.122671593106,344.5074610293958,5873.636881253995,1887089.4254374842,0
2018-10-31,2571.17146728834,-2571.17146728834,13406.480885736097,13768.859776606912,362.37889087081646,5918.658997757955,1893281.0990177412,0
2018-11-01,14074.51863417205,-14074.51863417205,13380.262405555428,13773.552744371214,393.29033881578687,5920.676309019384,1895852.2704850296,0
2018-11-02,-4624.799269374758,4624.799269374758,13534.220037752248,13972.721750903402,438.50171315115335,6006.290764516201,1909926.7891192017,0
2018-11-05,2651.4588036019513,-2651.4588036019513,13506.984439882774,13920.853798030765,413.869358147991,5983.994893184395,1905301.9898498268,0
2018-11-06,2719.9377538589615,-2719.9377538589615,13533.753253512405,13956.196462455551,422.4432089431457,5999.187231707437,1907953.4486534288,0
2018-11-07,15537.48061221055,-15537.48061221055,13568.18146060219,13986.75777412617,418.5763135239787,6012.32426594537,1910673.3864072878,0
2018-11-08,-3166.7339961972475,3166.7339961972475,13772.557787381147,14206.470221524096,433.9124341429482,6106.769490518033,1926210.8670194987,0
2018-11-09,-12828.471342447436,12828.471342447436,13757.666713216042,14184.900971782194,427.23425856615154,6097.497768957132,1923044.1330233014,0
2018-11-12,-16750.49166693573,16750.49166693573,13684.08464762797,14094.939461760656,410.85481413268633,6058.827064964235,1910215.661680854,1
2018-11-13,-2678.511767444883,2678.511767444883,13640.973630646953,14012.436526499463,371.46289585250935,6023.362491423097,1893465.170013918,0
2018-11-14,2177.5881181992027,-2177.5881181992027,13633.485666741655,13988.447805538568,354.9621387969124,6013.0507400171355,1890786.6582464732,0
2018-11-15,8129.4572732942315,-8129.4572732942315,13456.127378981626,13848.98694492748,392.85956594585264,5953.102328101919,1892964.2463646722,0
2018-11-16,7402.743114344643,-7402.743114344643,13506.639802337477,13935.709938098154,429.0701357606785,5990.380928666519,1901093.7036379664,0
2018-11-19,-9109.716960959217,9109.716960959217,13567.679741643156,14011.782628645113,444.1028870019555,6023.081407986846,1908496.4467523112,0
2018-11-20,-11959.402311261727,11959.402311261727,13485.212710377424,13892.463801304379,407.25109092695504,5971.791216750968,1899386.729791352,0
2018-11-21,1393.3005514096196,-1393.3005514096196,13407.527599513622,13792.618312700228,385.09071318660597,5928.871802282348,1887427.3274800903,0
2018-11-22,330.96436522060117,-330.96436522060117,13432.91057885122,13823.921540820636,391.01096196941626,5942.327755482518,1888820.6280315001,0
2018-11-23,-4384.601224322506,4384.601224322506,13427.413092105127,13822.758905788489,395.34581368336165,5941.827987135263,1889151.5923967208,0
2018-11-26,8542.68679973647,-8542.68679973647,13391.867291029987,13770.06922966432,378.20193863433303,5919.178891223117,1884766.991172398,0
2018-11-27,-605.2243905142527,605.2243905142527,13523.5693643597,13921.974840809302,398.4054764496005,5984.476782755188,1893309.6779721344,0
2018-11-28,17057.144316553695,-17057.144316553695,13529.124746674051,13918.271942593465,389.1471959194138,5982.885061131283,1892704.45358162,0
2018-11-29,2713.9517195432877,-2713.9517195432877,13801.132554950582,14236.556757931015,435.4242029804333,6119.702438656464,1909761.5978981738,0
2018-11-30,4679.387354175039,-4679.387354175039,13792.869895303764,14218.964359501948,426.09446419818397,6112.140199738813,1912475.549617717,0
2018-12-03,13317.567901856739,-13317.567901856739,13833.993472197986,14273.655049680285,439.6615774822985,6135.6494482001535,1917154.9369718921,0
2018-12-04,-17525.044490707925,17525.044490707925,14013.629558029894,14487.045752782882,473.4161947529891,6227.377218360314,1930472.5048737489,1
2018-12-05,-248.83626261852726,248.83626261852726,13904.19641059918,14316.316591695466,412.1201810962866,6153.987867183501,1912947.4603830413,0
2018-12-06,281.01169150772625,-281.01169150772625,13905.291651586458,14305.60970478182,400.3180531953624,6149.38542271115,1912698.6241204226,0
2018-12-07,-9742.872187394805,9742.872187394805,13861.983507906294,14237.324972399112,375.34146449281747,6120.032662040796,1912979.63581193,0
2018-12-10,147.9875794784341,-147.9875794784341,13751.78802163539,14104.561266730225,352.7732450948358,6062.963077929852,1903236.7636245354,0
2018-12-11,-2534.6380387669074,2534.6380387669074,13756.615239334056,14105.40382404817,348.7885847141137,6063.325258207079,1903384.7512040138,0
2018-12-12,2689.25252004895,-2689.25252004895,13762.177487009643,14098.900936184336,336.72344917469377,6060.529937723673,1900850.113165247,0
2018-12-13,-151.83082177262656,151.83082177262656,13812.56947663589,14149.292682558556,336.723205922666,6082.191249403036,1903539.3656852958,0
2018-12-14,-14258.09557984452,14258.09557984452,13805.00181579208,14138.303714869473,333.3018990773929,6077.467550161101,1903387.5348635232,1
2018-12-17,-9169.237452100078,9169.237452100078,13740.895473604485,14036.097691106357,295.2022175018715,6033.533440003454,1889129.4392836788,0
2018-12-18,2592.7958886909187,-2592.7958886909187,13656.83057908688,13929.09023201151,272.25965292462865,5987.535392897552,1879960.2018315785,0
2018-12-19,-11085.107839743436,11085.107839743436,13653.476312107436,13916.42948649296,262.95317438552354,5982.093066038431,1882552.9977202695,0
2018-12-20,-2195.246363838576,2195.246363838576,13558.46544288765,13805.077168918579,246.61172603092916,5934.2273453450925,1871467.889880526,0
2018-12-21,-13607.677097573986,13607.677097573986,13474.266660517897,13726.437984597813,252.17132407991576,5900.423637310589,1869272.6435166874,1
2018-12-24,-10868.053154094676,10868.053154094676,13396.821517923054,13609.816957259336,212.99543933628257,5850.293117864283,1855664.9664191138,0
2018-12-25,646.6968899405161,-646.6968899405161,13307.145763779356,13484.802716436883,177.65695265752714,5796.5547057302,1844796.9132650187,0
2018-12-26,26892.845538941267,-26892.845538941267,13308.506744827335,13486.201201926631,177.69445709929562,5797.155856360058,1845443.6101549594,0
2018-12-27,9123.809869707617,-9123.809869707617,13918.765562884646,14159.839129246198,241.07356636155313,6086.724727308609,1872336.4556939006,0
2018-12-28,5320.423259918702,-5320.423259918702,14010.560646771657,14281.02184655844,270.46119978678337,6138.816127165222,1881460.2655636086,0
