,VaR_MC_GARCH_T_COPULA,actual_loss,exception
2022-05-24,36809.90982731291,3524.6520643551303,0
2022-05-25,33397.88544492259,-2332.9886194698383,0
2022-05-26,29831.30880557672,-17395.74764762339,0
2022-05-27,35711.6108335309,-29901.535762615786,0
2022-05-31,46897.658876555244,10816.16006301848,0
2022-06-01,39657.218600391185,3597.328053631678,0
2022-06-02,35442.449775784946,-32129.424077592637,0
2022-06-03,46092.11570959662,28982.62000094159,0
2022-06-06,40872.37764638365,-2885.6532861801616,0
2022-06-07,37495.572661236096,-13010.51104347831,0
2022-06-08,39192.561036669555,15442.794228765246,0
2022-06-09,34846.612766916915,31372.359981069545,0
2022-06-10,33766.115708414814,14858.839804646244,0
2022-06-13,28613.54490809317,31330.65921092412,1
2022-06-14,31120.229243710382,10441.027036202002,0
2022-06-15,28014.182373106196,-8518.849117965652,0
2022-06-16,25884.200293528193,7111.4230426474605,0
2022-06-17,26766.408730073897,7423.200321768103,0
2022-06-21,23618.67400090452,-9536.203862511087,0
2022-06-22,24447.420195463652,5406.079597083481,0
2022-06-23,21574.85327042179,4331.127350086068,0
2022-06-24,20789.8284969533,-14538.555003375805,0
2022-06-27,22904.346912572397,1305.0476105984926,0
2022-06-28,20341.441895646585,9677.516581857712,0
2022-06-29,19486.074490489846,-14895.34375870104,0
2022-06-30,18454.14847894849,21638.203830082675,1
2022-07-01,33186.810209738826,-2659.5192306579047,0
2022-07-05,33191.03342819448,17572.302583190838,0
2022-07-06,32441.852714856886,9022.01356675909,0
2022-07-07,29631.39405059021,-18719.30899138317,0
2022-07-08,34575.837395419956,422.4695744835704,0
2022-07-11,32758.983137996674,21377.46687865423,0
2022-07-12,32076.955393849083,15891.108846417968,0
2022-07-13,30046.36572917798,6457.911915318994,0
2022-07-14,27794.02935574487,13199.554293790496,0
2022-07-15,28693.230103392754,-13747.946458669809,0
2022-07-18,35510.81779231844,5556.757668153787,0
2022-07-19,32149.373110784283,-35984.80234491146,0
2022-07-20,50757.26184361036,-4093.0806822533514,0
2022-07-21,47681.91781296094,-17099.182542767532,0
2022-07-22,53391.95920830768,19405.07199974253,0
2022-07-25,47368.004300558845,-569.9765851183674,0
2022-07-26,42101.63635520754,17047.552288578365,0
2022-07-27,39341.304491768096,-40821.87163291431,0
2022-07-28,63301.17405770991,-27098.853509168253,0
2022-07-29,64281.25740891743,-26946.954726068736,0
2022-08-01,67312.62122412396,4326.284429327262,0
2022-08-02,59518.352000000436,9161.638252846416,0
2022-08-03,56354.57605614255,-28526.620108782743,0
2022-08-04,62205.055837238455,-9383.36385128356,0
