date,manual_linear,ref_linear,abs_err_linear,manual_irs,ref_irs,abs_err_irs,manual_straddle,ref_straddle,abs_err_straddle,manual_total,ref_total,abs_err_total
2021-03-08,-15719.96734308585,-15719.96734308585,0.0,2963.3424729108083,2963.3424729108083,0.0,-2613.19715702183,-2613.19715702183,0.0,-15369.822027196871,-15369.822027196871,0.0
2021-03-09,31152.20482356602,31152.20482356602,0.0,-3953.175902313509,-3953.175902313509,0.0,37678.717447281146,37678.717447281146,0.0,64877.746368533655,64877.746368533655,0.0
2021-03-10,12307.161795981438,12307.161795981438,0.0,-1982.7528946086532,-1982.7528946086532,0.0,-3297.7830828245933,-3297.7830828245933,0.0,7026.625818548191,7026.625818548191,0.0
2021-03-11,10289.375004241725,10289.375004241725,0.0,991.8911832391168,991.8911832391168,0.0,-759.6662110427133,-759.6662110427133,0.0,10521.599976438129,10521.599976438129,0.0
2021-03-12,-1138.3199862731587,-1138.3199862731587,0.0,9862.486718647982,9862.486718647982,0.0,-2728.5739032522542,-2728.5739032522542,0.0,5995.59282912257,5995.59282912257,0.0
2021-03-15,9478.738961786334,9478.738961786334,0.0,-1964.3184772604436,-1964.3184772604436,0.0,-601.8520431510988,-601.8520431510988,0.0,6912.568441374791,6912.568441374791,0.0
2021-03-16,-1219.5669665154292,-1219.5669665154292,0.0,0.0,0.0,0.0,-1396.4370663320515,-1396.4370663320515,0.0,-2616.0040328474806,-2616.0040328474806,0.0
2021-03-17,7722.512689251737,7722.512689251737,0.0,982.6686469616398,982.6686469616398,0.0,-725.5257343215344,-725.5257343215344,0.0,7979.655601891842,7979.655601891842,0.0
2021-03-18,-21336.314712218576,-21336.314712218576,0.0,7824.770411192672,7824.770411192672,0.0,243.3213057366811,243.3213057366811,0.0,-13268.222995289223,-13268.222995289223,0.0
2021-03-19,-382.33680065327076,-382.33680065327076,0.0,2917.600892392089,2917.600892392089,0.0,-2104.009136176217,-2104.009136176217,0.0,431.254955562601,431.254955562601,0.0
2021-03-22,8096.85385945431,8096.85385945431,0.0,-4867.71344775772,-4867.71344775772,0.0,-2860.4632914872927,-2860.4632914872927,0.0,368.67712020929685,368.67712020929685,0.0
2021-03-23,-10366.758891280357,-10366.758891280357,0.0,-5874.657855827041,-5874.657855827041,0.0,171.101849896957,171.101849896957,0.0,-16070.31489721044,-16070.31489721044,0.0
2021-03-24,-3932.3882033247796,-3932.3882033247796,0.0,-982.6686469616398,-982.6686469616398,0.0,88.2222416357763,88.2222416357763,0.0,-4826.834608650643,-4826.834608650643,0.0
2021-03-25,1834.0703342139027,1834.0703342139027,0.0,982.6686469616398,982.6686469616398,0.0,-2438.720732196998,-2438.720732196998,0.0,378.0182489785443,378.0182489785443,0.0
2021-03-26,16543.68369931504,16543.68369931504,0.0,3920.498178336653,3920.498178336653,0.0,1485.80603074393,1485.80603074393,0.0,21949.987908395622,21949.987908395622,0.0
2021-03-29,-11101.082582051991,-11101.082582051991,0.0,5850.347000844762,5850.347000844762,0.0,1495.1415921494845,1495.1415921494845,0.0,-3755.5939890577447,-3755.5939890577447,0.0
2021-03-30,-16499.837611498682,-16499.837611498682,0.0,0.0,0.0,0.0,-3070.024180479668,-3070.024180479668,0.0,-19569.86179197835,-19569.86179197835,0.0
2021-03-31,13841.055584340744,13841.055584340744,0.0,971.5261244033463,971.5261244033463,0.0,214.06536217503526,214.06536217503526,0.0,15026.647070919125,15026.647070919125,0.0
2021-04-01,23277.94122530368,23277.94122530368,0.0,-4867.71344775772,-4867.71344775772,0.0,1813.4303676955205,1813.4303676955205,0.0,20223.65814524148,20223.65814524148,0.0
2021-04-05,14515.79321664223,14515.79321664223,0.0,3896.187323354374,3896.187323354374,0.0,8033.153984775425,8033.153984775425,0.0,26445.13452477203,26445.13452477203,0.0
2021-04-06,8956.317463106592,8956.317463106592,0.0,-5850.347000844762,-5850.347000844762,0.0,-716.7946004244586,-716.7946004244586,0.0,2389.1758618373715,2389.1758618373715,0.0
2021-04-07,-66.82840687329485,-66.82840687329485,0.0,977.5863133530511,977.5863133530511,0.0,-38.31135020616057,-38.31135020616057,0.0,872.4465562735957,872.4465562735957,0.0
2021-04-08,15110.79531678342,15110.79531678342,0.0,-3916.4346613909,-3916.4346613909,0.0,2901.1558656734414,2901.1558656734414,0.0,14095.516521065962,14095.516521065962,0.0
2021-04-09,1664.8335783398388,1664.8335783398388,0.0,2938.848348037849,2938.848348037849,0.0,5054.328508928331,5054.328508928331,0.0,9658.01043530602,9658.01043530602,0.0
2021-04-12,-4881.690796942572,-4881.690796942572,0.0,1954.1596774903883,1954.1596774903883,0.0,155.64234052901156,155.64234052901156,0.0,-2771.888778923172,-2771.888778923172,0.0
2021-04-13,11045.541202803262,11045.541202803262,0.0,-4893.008025528237,-4893.008025528237,0.0,2120.4096253272,2120.4096253272,0.0,8272.942802602225,8272.942802602225,0.0
2021-04-14,-6913.64755638486,-6913.64755638486,0.0,0.0,0.0,0.0,-2690.6750631187897,-2690.6750631187897,0.0,-9604.32261950365,-9604.32261950365,0.0
2021-04-15,28093.127083829102,28093.127083829102,0.0,-7881.791577875745,-7881.791577875745,0.0,8162.698685264826,8162.698685264826,0.0,28374.034191218183,28374.034191218183,0.0
2021-04-16,6762.312331145993,6762.312331145993,0.0,2963.3424729108083,2963.3424729108083,0.0,2553.352743327305,2553.352743327305,0.0,12279.007547384106,12279.007547384106,0.0
2021-04-19,-8229.82857189408,-8229.82857189408,0.0,1970.4419861400092,1970.4419861400092,0.0,-3873.822649408241,-3873.822649408241,0.0,-10133.209235162312,-10133.209235162312,0.0
2021-04-20,-2285.6954092798615,-2285.6954092798615,0.0,-2957.1976940447057,-2957.1976940447057,0.0,-5725.318670308596,-5725.318670308596,0.0,-10968.211773633164,-10968.211773633164,0.0
2021-04-21,18201.985899715502,18201.985899715502,0.0,-987.780429169783,-987.780429169783,0.0,-11685.01014757865,-11685.01014757865,0.0,5529.195322967069,5529.195322967069,0.0
2021-04-22,-14794.344344501402,-14794.344344501402,0.0,0.0,0.0,0.0,1980.3259946160033,1980.3259946160033,0.0,-12814.018349885398,-12814.018349885398,0.0
2021-04-23,7814.67211750704,7814.67211750704,0.0,987.780429169783,987.780429169783,0.0,-3525.4821743656576,-3525.4821743656576,0.0,5276.970372311165,5276.970372311165,0.0
2021-04-26,5430.814973271474,5430.814973271474,0.0,0.0,0.0,0.0,117.43080800510506,117.43080800510506,0.0,5548.245781276579,5548.245781276579,0.0
2021-04-27,-4372.443027067534,-4372.443027067534,0.0,4923.554982570829,4923.554982570829,0.0,-842.2342765570647,-842.2342765570647,0.0,-291.12232105376916,-291.12232105376916,0.0
2021-04-28,2825.884517885504,2825.884517885504,0.0,0.0,0.0,0.0,-1245.2181587026425,-1245.2181587026425,0.0,1580.6663591828615,1580.6663591828615,0.0
