refit_idx,date,t,mu,omega,alpha1,beta,alpha_plus_beta,raw_mu,raw_omega,raw_alpha1,raw_beta,raw_alpha_plus_beta,nu,loglikelihood,convergence_flag,optimizer_warning_count,stationarity_fallback_used
26,2013-03-15,1800,0.0006097758960408798,5.322689092562125e-07,0.060511724650717934,0.9361416969680273,0.9966534216187453,0.0006097758960408798,5.322689092562125e-07,0.060511724650717934,0.9361416969680273,0.9966534216187453,7.507035039736093,-2302.910728631348,0,0,0
27,2013-05-28,1850,0.0005989952921376814,6.128613576803292e-07,0.06071765580883283,0.9360637990627431,0.9967814548715759,0.0005989952921376814,6.128613576803292e-07,0.06071765580883283,0.9360637990627431,0.9967814548715759,6.355011118780442,-2379.279802591189,0,0,0
28,2013-08-07,1900,0.000602290660956179,6.380672437708282e-07,0.05978332492034391,0.9364761984441848,0.9962595233645287,0.000602290660956179,6.380672437708282e-07,0.05978332492034391,0.9364761984441848,0.9962595233645287,6.182959206137102,-2451.2212784210524,0,0,0
29,2013-10-17,1950,0.0006009922439399496,6.633136851550607e-07,0.05966731497284782,0.936097495603356,0.9957648105762038,0.0006009922439399496,6.633136851550607e-07,0.05966731497284782,0.936097495603356,0.9957648105762038,6.026568543993468,-2507.7052908619085,0,0,0
30,2013-12-30,2000,0.0006021044638166755,6.58521862643109e-07,0.05820295617993472,0.9371754448264478,0.9953784010063825,0.0006021044638166755,6.58521862643109e-07,0.05820295617993472,0.9371754448264478,0.9953784010063825,6.152174435567355,-2560.010582964579,0,0,0
31,2014-03-13,2050,0.0006287280092103073,6.391550929627082e-07,0.05821611261421546,0.9370432717064455,0.995259384320661,0.0006287280092103073,6.391550929627082e-07,0.05821611261421546,0.9370432717064455,0.995259384320661,6.172142864138764,-2600.6434833468675,0,0,0
32,2014-05-23,2100,0.0005754088782468377,6.590587864552637e-07,0.057470193283814835,0.9372793573482892,0.994749550632104,0.0005754088782468377,6.590587864552637e-07,0.057470193283814835,0.9372793573482892,0.994749550632104,6.282060958665045,-2650.6162786021832,0,0,0
33,2014-08-05,2150,0.0005560211632359527,5.992561724788854e-07,0.05545313267870568,0.9398364598767468,0.9952895925554525,0.0005560211632359527,5.992561724788854e-07,0.05545313267870568,0.9398364598767468,0.9952895925554525,6.056941918054033,-2691.4151609350147,0,0,0
34,2014-10-15,2200,0.00047998814383482197,5.969188764525283e-07,0.055306940089976164,0.9397781943277933,0.9950851344177695,0.00047998814383482197,5.969188764525283e-07,0.055306940089976164,0.9397781943277933,0.9950851344177695,6.146297991081345,-2731.4471199609043,0,0,0
35,2014-12-26,2250,0.0004712324342326035,6.256729609195737e-07,0.055919703443823444,0.938993663300366,0.9949133667441895,0.0004712324342326035,6.256729609195737e-07,0.055919703443823444,0.938993663300366,0.9949133667441895,6.178661397731332,-2786.3890001886252,0,0,0
36,2015-03-11,2300,0.00044448583064666554,6.294511397590484e-07,0.05538843944302443,0.9392549722244253,0.9946434116674497,0.00044448583064666554,6.294511397590484e-07,0.05538843944302443,0.9392549722244253,0.9946434116674497,6.261380590994975,-2843.4709255411085,0,0,0
37,2015-05-21,2350,0.00045728233961166474,6.300270997415913e-07,0.05449327667526963,0.9397428197295356,0.9942360964048051,0.00045728233961166474,6.300270997415913e-07,0.05449327667526963,0.9397428197295356,0.9942360964048051,6.4381460496721425,-2895.761690620979,0,0,0
38,2015-08-03,2400,0.0004190499443014022,6.248510628474598e-07,0.053238829754773995,0.9409596453308815,0.9941984750856555,0.0004190499443014022,6.248510628474598e-07,0.053238829754773995,0.9409596453308815,0.9941984750856555,6.446279079472695,-2956.3743425987614,0,0,0
