,VaR,VaR_nodrift,ES,ES_nodrift,actual_loss,exception,mu_deltaV,sigma_deltaV
2021-04-08,11523.095491238952,11945.93444568541,13263.194297603874,13686.033252050333,-14095.516521065976,0,422.8389544464584,5135.059368801732
2021-04-09,11521.730041329687,11954.116441675425,13263.020674212716,13695.407074558454,-9658.010435306029,0,432.38640034573916,5138.576467891389
2021-04-12,11522.80911925337,11954.126718498936,13264.10124910496,13695.418848350526,2771.8887789231794,0,431.31759924556474,5138.580885469527
2021-04-13,11518.01759861945,11951.422295638382,13258.915790013321,13692.320487032253,-8272.94280260168,0,433.40469701893176,5137.418366789182
2021-04-14,11510.940280098303,11954.981927300794,13252.356983529471,13696.398630731963,9604.322619503106,0,444.0416472024924,5138.948504092435
2021-04-15,11517.901073789444,11956.011569373391,13259.467759538837,13697.578255122784,-28374.034191218183,0,438.1104955839472,5139.391104308888
2021-04-16,11532.74735176192,11988.646699188643,13279.067818029303,13734.967165456026,-12279.007547384106,0,455.89934742672193,5153.419586540381
2021-04-19,11533.49828802298,11987.148082125488,13279.60045895527,13733.250253057779,10133.209235162312,0,453.64979410250874,5152.77539352012
2021-04-20,11541.9218922597,11990.40478463812,13288.498449200108,13736.981341578528,10968.211773633164,0,448.48289237842005,5154.17531420652
2021-04-21,11533.515219808916,11988.41859453897,13279.802459322007,13734.705834052062,-5529.195322967069,0,454.90337473005474,5153.3215338577975
2021-04-22,11535.266201277691,11993.328923102008,13282.268701443703,13740.33142326802,12814.018349885398,1,458.0627218243166,5155.432279468043
2021-04-23,11547.202678777425,11999.925200710819,13295.166022554771,13747.888544488165,-5276.970372311165,0,452.7225219333936,5158.267744310777
2021-04-26,11548.44982094468,11998.694487318458,13296.233893446533,13746.478559820313,-5548.245781276579,0,450.2446663737784,5157.738711913647
2021-04-27,11534.11546375845,11995.247644888248,13281.397453612371,13742.52963474217,291.1223210537692,0,461.1321811297987,5156.257058000803
2021-04-28,11530.99644548462,11993.54616924596,13278.030590705901,13740.58031446724,-1580.6663591828617,0,462.54972376134083,5155.525664531548
2021-04-29,11531.59676656742,11989.221680100307,13278.00098715328,13735.625900686167,-6532.792005144824,0,457.62491353288783,5153.6667468718515
2021-04-30,11530.046819127825,11989.355678726472,13276.470558559238,13735.779418157885,9308.457387487031,0,459.30885959864634,5153.7243472968175
2021-05-03,11531.301956354106,11990.054149753956,13277.827438232436,13736.579631632287,-8214.187856462508,0,458.75219339985017,5154.024590882603
2021-05-04,11522.864523435752,11989.238862731307,13269.271246921307,13735.645586216862,12329.309351279191,1,466.37433929555493,5153.674132968828
2021-05-05,11532.509349010677,11992.831653428213,13279.439414628372,13739.761719045908,124.28952295724048,0,460.32230441753643,5155.2185239591
2021-05-06,11534.571140426837,11991.6261287006,13281.3256038638,13738.380592137562,-19522.241785436345,0,457.0549882737635,5154.7003191192025
2021-05-07,11528.812644728365,12002.554544185494,13277.158990560729,13750.900890017858,-16462.012386088238,0,473.74189945712976,5159.397989492082
2021-05-10,11531.477473698871,12013.011906048525,13281.34708612694,13762.881518476594,2295.958027445464,0,481.53443234965323,5163.893173544185
2021-05-11,11534.395471535528,12012.715276036306,13284.221875495265,13762.541679996042,8137.61299612692,0,478.31980450077697,5163.765664664052
2021-05-12,11547.137635325742,12018.848677328397,13297.857458240342,13769.568500242996,19185.7307931194,1,471.7110420026546,5166.402158268698
2021-05-13,11588.325403398949,12050.103084577626,13343.597884541776,13805.375565720453,-4245.999530128418,0,461.77768117867737,5179.837125410968
2021-05-14,11577.469802689395,12050.784974301898,13332.841610971565,13806.156782584068,-14354.86902403616,0,473.3151716125028,5180.130241385531
2021-05-17,11583.605186455869,12067.215776960442,13341.370379719661,13824.980970224236,-8766.482475622934,0,483.61059050457425,5187.19315869119
2021-05-18,11579.90749427205,12071.100230496537,13338.238514595441,13829.431250819927,6415.810020179846,0,491.1927362244868,5188.862923380916
2021-05-19,11584.929865754368,12072.880609798578,13343.520224174117,13831.470968218327,-1597.2293914641596,0,487.9507440442105,5189.628234245172
2021-05-20,11587.135426781386,12072.545668598583,13345.676996152028,13831.087237969225,-7713.836041666844,0,485.4102418171974,5189.484256982041
2021-05-21,11575.109765049017,12073.250403710468,13333.753989321422,13831.894627982872,1203.11771347812,0,498.1406386614509,5189.7871932366525
2021-05-24,11565.386157807805,12070.093625163547,13323.570551448587,13828.278018804329,-7865.264893130858,0,504.7074673557419,5188.4302256987585
2021-05-25,11565.431734814953,12069.78959866318,13323.571842581508,13827.929706429735,-1306.3474529798068,0,504.35786384822745,5188.299537376621
2021-05-26,11564.84723702242,12072.782755944241,13323.423341607451,13831.358860529272,-405.84827391639374,0,507.9355189218205,5189.586170951273
2021-05-27,11564.575087545194,12063.256331393091,13321.763530071159,13820.444773919056,54.22277172438021,0,498.6812438478978,5185.491158052535
2021-05-28,11566.76659753019,12050.436989883436,13322.087716829095,13805.758109182341,-1073.8039600690072,0,483.6703923532465,5179.98065738636
2021-06-01,11567.52715097215,12048.02088831456,13322.49632999588,13802.99006733829,78.99385081805303,0,480.49373734241095,5178.942076013455
2021-06-02,11570.627802142124,12047.326698955749,13325.495862406151,13802.194759219776,-1418.8498282899363,0,476.6988968136243,5178.643672938594
2021-06-03,11566.439713360316,12034.441864695651,13319.430910427232,13787.433061762567,-11029.381514000212,0,468.0021513353346,5173.105019668429
2021-06-04,11597.446995535263,12055.369810195041,13353.486651736852,13811.40946639663,-10163.89559322188,0,457.92281465977766,5182.101071261967
2021-06-07,11595.070173989916,12063.313365734877,13352.266924395897,13820.510116140858,-2838.86927073727,0,468.24319174496077,5185.51567473915
2021-06-08,11595.554189506453,12062.879783111192,13352.687782307696,13820.013375912435,3606.588451167904,0,467.3255936047385,5185.329295638877
2021-06-09,11597.648334060214,12061.156753784668,13354.530942621752,13818.039362346206,4314.211299279975,0,463.5084197244548,5184.588637139023
2021-06-10,11597.619838846631,12061.148121423983,13354.501189979495,13818.029472556847,-2328.9802560364624,0,463.52828257735166,5184.584926446921
2021-06-11,11589.81887888808,12062.993136136382,13346.968983203322,13820.143240451624,7638.203364886707,0,473.1742572483015,5185.378021380394
2021-06-14,11602.763708189244,12060.954984799933,13359.616926168483,13817.808202779172,2.5630222301324466,0,458.19127661068916,5184.501905061253
2021-06-15,11617.00626411544,12064.911564968676,13374.435815445593,13822.341116298829,4794.328994969079,0,447.90530085323485,5186.202673984461
