,VaR_MC_GARCH_COPULA,actual_loss,exception
2012-03-28,16627.12018174387,11051.18645493498,0
2012-03-29,15727.638689843872,3009.654057213199,0
2012-03-30,15541.94524229323,-7622.773322954042,0
2012-04-02,15944.392147159904,-7255.836186952174,0
2012-04-03,15235.971930239972,11977.033539101432,0
2012-04-04,14601.212760519482,20528.99775154009,1
2012-04-05,15855.96433303436,523.5227031429886,0
2012-04-09,15489.30106308822,5227.9606115191045,0
2012-04-10,14354.087690801245,-2308.922972546302,0
2012-04-11,14331.397318912801,-2820.04730378157,0
2012-04-12,14676.360477037713,-12506.132793719617,0
2012-04-13,14365.767452254842,12782.282628105717,0
2012-04-16,15041.308350699574,6967.341225850673,0
2012-04-17,15206.794217292249,-6013.137304212817,0
2012-04-18,15071.462405096572,7391.232309784472,0
2012-04-19,14789.721131467293,3206.316017014148,0
2012-04-20,14106.490665192016,-1863.1070914923007,0
2012-04-23,13419.246001887157,4658.849249105734,0
2012-04-24,13084.493836045815,-3065.019871940817,0
2012-04-25,13451.09703918974,-5569.6254814633685,0
2012-04-26,13687.982646818078,-7381.802314148092,0
2012-04-27,14708.206149821333,456.0699421687623,0
2012-04-30,14432.51791695779,-1606.2833799992022,0
2012-05-01,14806.24417715157,-893.8023025345033,0
2012-05-02,13615.022047739929,5830.93625621513,0
2012-05-03,13846.675319432261,11982.469209087212,0
2012-05-04,13247.960245536811,4055.50549425845,0
2012-05-07,14124.251167651699,5063.81772696957,0
2012-05-08,13465.160588896011,16264.986600855584,1
2012-05-09,14226.17970689315,9870.468193193909,0
2012-05-10,14097.725513973844,-5801.949699543423,0
2012-05-11,13743.211543491298,9723.699503619267,0
2012-05-14,13476.668285294912,17583.50860168782,1
2012-05-15,15488.869079354768,12436.546749402303,0
2012-05-16,14973.001356407616,4068.733975016005,0
2012-05-17,15793.30333745085,-8605.810906472732,0
2012-05-18,13882.06596743431,-6481.644087351482,0
2012-05-21,13660.681769104716,-6982.609349505026,0
2012-05-22,14113.746486318767,7906.380680045575,0
2012-05-23,14074.113235048339,10128.04132899709,0
2012-05-24,14714.565085269029,236.74867497551625,0
2012-05-25,14216.417214801828,-3792.971491515369,0
2012-05-29,14269.948491549723,7677.844908486904,0
2012-05-30,13886.19088687862,6174.170740365214,0
2012-05-31,14489.1441354672,6648.315363644019,0
2012-06-01,14959.056343177617,-14814.198136926898,0
2012-06-04,14128.605031458483,-3139.7788170280905,0
2012-06-05,14505.044225027494,-4611.49241504663,0
2012-06-06,14388.905683527828,-8633.484879381404,0
2012-06-07,14400.637149712622,9744.26116323102,0
2012-06-08,14349.147435959087,-1577.3548031979717,0
2012-06-11,15778.9020891599,1571.9143762694143,0
2012-06-12,16054.092312971714,-7949.019410037043,0
2012-06-13,16056.485880687627,1210.567876609783,0
2012-06-14,15587.498541283443,-7428.351280876713,0
2012-06-15,16495.67863636479,-1314.654431853064,0
2012-06-18,16447.96613596188,-346.1346410150122,0
2012-06-19,16436.886989633458,10.323367815272375,0
2012-06-20,16453.56770051251,5047.138513430713,0
2012-06-21,14189.634964357907,24544.523001512476,1
2012-06-22,16652.381207780407,-12489.153189197456,0
2012-06-25,15326.721288336117,2241.6378624748013,0
2012-06-26,15709.966978777378,3195.086876342906,0
2012-06-27,16206.136139666212,-2493.3123193511783,0
2012-06-28,15961.564532191409,13179.512621446367,0
2012-06-29,18521.015211273974,-30465.97338903349,0
2012-07-02,22285.600824785037,-821.5041060142594,0
2012-07-03,23107.308527922673,-14946.449426346226,0
2012-07-05,22383.095409902213,13717.83743961101,0
2012-07-06,21798.852963455174,19359.070080292844,0
2012-07-09,21214.156789200428,4025.2388343195007,0
2012-07-10,21255.60011054708,10614.9535429386,0
2012-07-11,20962.097716926935,-2759.482140901017,0
2012-07-12,19361.877561452613,6715.86935730796,0
2012-07-13,21090.282054527426,-12645.317610846956,0
2012-07-16,21383.264743234628,545.6293126343598,0
2012-07-17,21814.613332993962,-1055.483767164791,0
2012-07-18,21873.925332290353,-819.8768674448338,0
2012-07-19,22717.252010402968,-3375.202955833084,0
2012-07-20,21366.60971078417,5988.177810182824,0
2012-07-23,21037.47327528695,10958.123366004498,0
2012-07-24,16061.414880957407,2666.952449146089,0
2012-07-25,15325.40720552023,-7415.942944737773,0
2012-07-26,16001.137339554532,-12798.056223337057,0
2012-07-27,18159.720276768552,-24634.347136807035,0
2012-07-30,22489.95729049101,3678.405474300231,0
2012-07-31,22021.027124223718,10222.919996426794,0
2012-08-01,20641.434595637238,2817.127854928904,0
2012-08-02,20171.250922196898,13554.28020627881,0
2012-08-03,22233.000323949535,-22337.99233147635,0
2012-08-06,24653.75605451606,-8935.379671632609,0
2012-08-07,22991.239441637088,-5367.664718413413,0
2012-08-08,23736.937673657925,-2133.5994503636857,0
2012-08-09,23242.916668141737,-2907.404773205514,0
2012-08-10,21960.386090608208,3375.596360597792,0
2012-08-13,22522.049978175626,7116.473009950671,0
2012-08-14,21523.71132287699,-3314.480689019397,0
2012-08-15,20790.493563293072,-7195.359155286058,0
2012-08-16,21071.909077467517,-8008.524445204235,0
2012-08-17,21366.791158143227,-735.1144430566092,0
2012-08-20,21274.278940861393,-3333.6340132559576,0
2012-08-21,20667.836726049456,-5290.235841426924,0
2012-08-22,19799.635370905733,-5035.269889475456,0
2012-08-23,19200.40229278304,-2433.994253730316,0
2012-08-24,18941.884078013485,-2442.1355711481237,0
2012-08-27,18595.387957112678,5584.337615665391,0
2012-08-28,18586.759302844257,123.5322324141664,0
2012-08-29,18133.610886723192,1500.430624854759,0
2012-08-30,17746.852092661175,6012.429264590693,0
2012-08-31,18477.262226966788,-15039.00186607568,0
2012-09-04,17713.37220655402,-1991.497106422838,0
2012-09-05,13370.606368965668,1753.0554927487528,0
2012-09-06,14256.01657529097,-17030.960478134184,0
2012-09-07,17608.32999886247,-18508.19840064674,0
2012-09-10,17013.085401620923,3642.273949412333,0
2012-09-11,16630.619944122984,-4564.626415421377,0
2012-09-12,16410.57610549729,-8305.558227176647,0
2012-09-13,18209.96333092365,-24498.992021567818,0
2012-09-14,19670.606519262696,-15367.215200341969,0
2012-09-17,20656.489946008445,8013.256719708645,0
2012-09-18,19767.2133015616,-1731.732737974704,0
2012-09-19,20191.152814616475,3330.1058051368127,0
2012-09-20,19358.549271359607,-158.12252692827678,0
2012-09-21,18323.46724851638,1836.8053655844385,0
2012-09-24,18359.034557751762,6958.456287914658,0
2012-09-25,17901.156096198327,7037.323982328469,0
2012-09-26,17603.71578273716,10560.581503201134,0
2012-09-27,18954.282323328123,-14070.70244621926,0
2012-09-28,19380.456166471125,3513.055051154747,0
2012-10-01,18606.048666534403,-382.923924033998,0
2012-10-02,18552.443362841037,-285.7289090077038,0
2012-10-03,18443.575432397232,-3374.1131047157974,0
2012-10-04,18880.420469063352,-11761.242902630434,0
2012-10-05,19987.982223258776,-23.751387142813652,0
2012-10-08,19304.694586915277,2406.101998748506,0
2012-10-09,18857.802014445453,10314.911369540796,0
2012-10-10,18315.826940923766,6099.911430680491,0
2012-10-11,18945.337183845313,-342.7975333441959,0
2012-10-12,18303.01871103782,6121.540952953551,0
2012-10-15,19021.176228417844,5235.987586987856,0
2012-10-16,18793.498542242884,-11174.503765378797,0
2012-10-17,15781.877305138647,-9809.546059372213,0
2012-10-18,17230.511395695343,2399.8267483707514,0
2012-10-19,15794.87130874263,18983.714333797223,1
2012-10-22,17564.511852555865,-4010.146933582308,0
2012-10-23,16882.583693375218,13502.617947395414,0
2012-10-24,16482.13725377417,5256.905708137167,0
2012-10-25,16924.133822867396,-9765.616778560074,0
2012-10-26,17146.81104221804,6318.4575000467885,0
2012-10-31,17251.183149729095,-1166.9523038054413,0
2012-11-01,16865.55696874063,-5207.240898437289,0
2012-11-02,16389.95539699542,18823.50572147843,1
2012-11-05,16513.285503045747,522.9054630705177,0
2012-11-06,16046.773431264704,-19722.510962413784,0
2012-11-07,16485.81374285826,11511.267279057476,0
2012-11-08,17040.03004260719,1437.703230733623,0
2012-11-09,16734.181282458445,1969.0703921303732,0
2012-11-12,16181.196898737617,2790.5327768331754,0
2012-11-13,15397.461343313096,4310.13731579802,0
2012-11-14,15274.916944051845,1904.536006798588,0
2012-11-15,15151.359655462305,6037.907733636583,0
2012-11-16,14495.474537397518,-576.8893754233579,0
2012-11-19,14404.166482891114,-14197.083156080342,0
2012-11-20,14615.845885669854,-1017.1982497079916,0
2012-11-21,14279.915677645891,-4384.908956446222,0
2012-11-23,14469.096034228261,-13704.665451831246,0
2012-11-26,14612.368521483491,2830.6092211730293,0
2012-11-27,13497.742913199783,5320.909654748797,0
2012-11-28,13898.228800029598,9935.663468670102,0
2012-11-29,13055.54379010143,-3640.024462774806,0
2012-11-30,13363.900384464838,4883.100600573497,0
2012-12-03,16346.127815751699,-236.75346902526812,0
2012-12-04,15651.689476984702,8843.74111798426,0
2012-12-05,15507.628218972159,958.1374585948638,0
2012-12-06,15318.778647677578,-1041.4374151045868,0
2012-12-07,15468.512439913133,-4956.297835097535,0
2012-12-10,14714.093567783264,-958.8423707460393,0
2012-12-11,14671.985789314693,-3817.341829458814,0
2012-12-12,15209.596250532564,-5934.489111791767,0
2012-12-13,14965.783467748639,7145.845181158764,0
2012-12-14,14549.653888412951,-5500.7967984402085,0
2012-12-17,15294.156938510552,-10489.807162736204,0
2012-12-18,17495.41091755135,3148.864620429531,0
2012-12-19,17078.35800920532,3993.134740446301,0
2012-12-20,16820.518493046817,7994.262952035888,0
2012-12-21,16159.63506660444,3134.3197960841426,0
2012-12-24,15437.68466866219,-383.8824707827314,0
2012-12-26,14947.1604096822,1171.456472777278,0
2012-12-27,15098.649771628297,43.26307307518846,0
2012-12-28,13670.82290048468,4522.624228264673,0
2012-12-31,14814.093944685177,-12189.624585364005,0
2013-01-02,16908.306717517968,-20265.750196848945,0
2013-01-03,20228.56003154914,7212.756151141388,0
2013-01-04,20164.550908905025,3749.880264612517,0
2013-01-07,19419.437373735724,6257.486774538975,0
2013-01-08,19025.29817242829,-3039.012161372705,0
2013-01-09,20063.60953455819,776.8298016164738,0
2013-01-10,20167.061474312508,-12046.114304460856,0
2013-01-11,20219.21523351362,563.0918396402685,0
2013-01-14,19088.585710827378,-3516.5107964132208,0
2013-01-15,18976.535230816942,-3524.421076795802,0
2013-01-16,12693.546518705642,2579.244561484278,0
2013-01-17,12863.672326858554,-9382.450711841344,0
2013-01-18,13700.5866904653,-890.6071614514358,0
2013-01-22,13355.723112950614,-4999.530421730942,0
2013-01-23,13214.419459251563,1013.3631368922051,0
2013-01-24,13202.00411329014,7168.081041498954,0
2013-01-25,13222.014861830028,-7702.777294361633,0
2013-01-28,13953.196405776784,-656.1223678548045,0
2013-01-29,14235.946346451863,-7376.071898201088,0
2013-01-30,14017.986837909213,351.6962889085953,0
2013-01-31,13426.664921745542,4716.633346332543,0
2013-02-01,13934.587378987966,-5321.43795641673,0
2013-02-04,13180.825713747883,1269.5146151840113,0
2013-02-05,13996.108157789307,-2185.778685893047,0
2013-02-06,13788.620592312447,-853.2669674109547,0
2013-02-07,13762.619717529085,5162.171517547888,0
2013-02-08,14073.207018542227,1982.0264177196905,0
2013-02-11,14083.95963140724,9944.231573713696,0
2013-02-12,14140.189660690909,-4418.3643684284425,0
2013-02-13,14280.650389884557,1153.1800653585829,0
2013-02-14,14223.202298759998,6378.175073142056,0
2013-02-15,14140.55717058868,14301.026809203584,1
2013-02-19,14632.229754778251,-2464.4498539262177,0
2013-02-20,14061.997788924838,22003.453584264083,1
2013-02-21,14946.931339999051,1334.7034409973694,0
2013-02-22,16846.58209259497,-1742.468492747742,0
2013-02-25,13877.221013195765,4186.633965624098,0
2013-02-26,15444.39181820221,-6436.985658055625,0
2013-02-27,18795.001376178432,1352.4682632938966,0
2013-02-28,17769.263816707655,7779.612422725982,0
2013-03-01,11846.515843202256,5307.55780231868,0
2013-03-04,12285.556249955624,-1224.7471285963595,0
2013-03-05,12549.441924614854,-6595.732952449089,0
2013-03-06,12932.734429764681,-8341.120798188203,0
