,pnl,actual_loss,VaR_HistSim,ES_HistSim,tail_scenarios,snapshot_date,current_portfolio_value,exception
2017-07-20,568.4683325260412,-568.4683325260412,22132.867702784482,26831.791290997713,5,2017-07-19,1801465.214840995,0
2017-07-21,3800.3167099540588,-3800.3167099540588,22275.05098006013,27128.135825267247,5,2017-07-20,1802033.683173521,0
2017-07-24,2515.1693155036774,-2515.1693155036774,22430.89459133055,27142.136061951423,5,2017-07-21,1805833.999883475,0
2017-07-25,3375.1167263127863,-3375.1167263127863,22468.274983452866,27166.54734066585,5,2017-07-24,1808349.1691989787,0
2017-07-26,2299.8624168685637,-2299.8624168685637,22649.04355081613,27940.54479227937,5,2017-07-25,1811724.2859252915,0
2017-07-27,2423.771278635133,-2423.771278635133,22823.31932522566,28118.40781799578,5,2017-07-26,1814024.14834216,0
2017-07-28,1051.6211448397953,-1051.6211448397953,22760.176588381873,27854.8120766866,5,2017-07-27,1816447.9196207952,0
2017-07-31,868.423052725615,-868.423052725615,22857.896033882163,27696.90089973486,5,2017-07-28,1817499.540765635,0
2017-08-01,532.3040836337022,-532.3040836337022,22940.608847223455,27739.800977197614,5,2017-07-31,1818367.9638183606,0
2017-08-02,-570.7432527467608,570.7432527467608,23309.600225849543,28757.9618432967,5,2017-08-01,1818900.2679019943,0
2017-08-03,-1611.592856501462,1611.592856501462,23870.29944379884,29223.715004611946,5,2017-08-02,1818329.5246492475,0
2017-08-04,-420.50714180758223,420.50714180758223,23377.28323205607,28809.25040902365,5,2017-08-03,1816717.931792746,0
2017-08-07,-1663.3568349787965,1663.3568349787965,24899.83849710622,30098.02751899329,5,2017-08-04,1816297.4246509385,0
2017-08-08,1873.3758176490664,-1873.3758176490664,26830.077458429383,31426.84503829782,5,2017-08-07,1814634.0678159597,0
2017-08-09,4595.018464033026,-4595.018464033026,17357.83502506744,20578.022485631147,5,2017-08-08,1816507.4436336088,0
