,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2016-03-23,-20786.63761144108,20786.63761144108,25471.684605834074,28111.0207676901,5,2016-03-22,1649486.054489284,1.0922465980274594,0
2016-03-24,-448.9170856117271,448.9170856117271,24739.306675137486,26869.467419487657,5,2016-03-23,1628699.416877843,1.1037416360117083,0
2016-03-28,-41.68014762876555,41.68014762876555,24731.05667311512,26809.333794392227,5,2016-03-24,1628250.4997922312,1.1018045749199559,0
2016-03-29,11513.880921697943,-11513.880921697943,24668.480614086613,26795.84144606218,5,2016-03-28,1628208.8196446025,1.0908246283067131,0
2016-03-30,-1761.8345064599998,1761.8345064599998,26802.49054061272,29528.23837611992,5,2016-03-29,1639722.7005663004,1.1007852502052926,0
2016-03-31,-1651.5271652059164,1651.5271652059164,27835.573101898422,30831.99921004181,5,2016-03-30,1637960.8660598404,1.1042314203925099,0
2016-04-01,3134.2899212550838,-3134.2899212550838,27360.541465805378,30105.68006620337,5,2016-03-31,1636309.3388946345,1.0934561487697558,0
2016-04-04,-6318.942117681028,6318.942117681028,28909.632615046343,32436.73434398612,5,2016-04-01,1639443.6288158896,1.0941940803917962,0
2016-04-05,-3136.1573357204907,3136.1573357204907,27979.11021982855,31118.57966236407,5,2016-04-04,1633124.6866982086,1.0825850218351472,0
2016-04-06,5782.554903798504,-5782.554903798504,25903.456001914106,28129.842809175978,5,2016-04-05,1629988.529362488,1.0684670966079957,0
2016-04-07,-3801.4504464678466,3801.4504464678466,28223.340272059664,31413.45859436095,5,2016-04-06,1635771.0842662866,1.0616997140261326,0
2016-04-08,1080.4754251528066,-1080.4754251528066,26154.56381401606,28244.986750643187,5,2016-04-07,1631969.6338198187,1.0684255490411463,0
2016-04-11,7216.075845721643,-7216.075845721643,26964.413991130423,29177.74104743735,5,2016-04-08,1633050.1092449715,1.0617996222104729,0
2016-04-12,10841.857686831383,-10841.857686831383,26299.61907648528,28312.782604256226,5,2016-04-11,1640266.1850906932,1.0479710988679038,0
2016-04-13,-13.938576468266547,13.938576468266547,28357.047752710758,31241.561685552493,5,2016-04-12,1651108.0427775246,1.0456307559674005,0
2016-04-14,-8171.348944285652,8171.348944285652,29470.807388797868,34068.99268284277,5,2016-04-13,1651094.1042010563,1.0312277524258744,0
2016-04-15,106.4782857215032,-106.4782857215032,29703.123917638324,34690.72487894855,5,2016-04-14,1642922.7552567706,1.0383548322982947,0
2016-04-18,7277.557033827063,-7277.557033827063,29584.269940293394,34901.68899309183,5,2016-04-15,1643029.2335424921,1.0299400535859726,0
2016-04-19,7223.075800121762,-7223.075800121762,25533.153405369958,28272.734445862145,5,2016-04-18,1650306.7905763192,1.0288151208359317,0
2016-04-20,2025.2339440633077,-2025.2339440633077,21582.372461868217,23710.1669368058,5,2016-04-19,1657529.866376441,1.0143139314259233,0
2016-04-21,744.1801185340155,-744.1801185340155,21450.388885268243,23585.176412229193,5,2016-04-20,1659555.1003205043,1.0096130871915818,0
