,VaR_MC_GARCH_COPULA_V3,actual_loss,exception
2021-04-19,49643.42417053794,10133.209235162312,0
2021-04-20,47832.82860140887,10968.211773633164,0
2021-04-21,49161.488649497995,-5529.195322967069,0
2021-04-22,48421.98112719489,12814.018349885398,0
2021-04-23,53115.61374124176,-5276.970372311165,0
2021-04-26,54538.4118946106,-5548.245781276579,0
2021-04-27,50821.86442314907,291.1223210537692,0
2021-04-28,47737.7558754583,-1580.6663591828617,0
2021-04-29,48804.76890530547,-6532.792005144824,0
2021-04-30,45364.82088973961,9308.457387487031,0
2021-05-03,49266.12896970876,-8214.187856462508,0
2021-05-04,45148.33362260714,12329.309351279191,0
2021-05-05,46757.55012832127,124.28952295724048,0
2021-05-06,23644.001539059973,-19522.241785436345,0
2021-05-07,59152.278287298446,-16462.012386088238,0
2021-05-10,55240.29867706334,2295.958027445464,0
2021-05-11,50654.08012837103,8137.61299612692,0
2021-05-12,52466.589174227796,19185.7307931194,0
2021-05-13,71442.15114538619,-4245.999530128418,0
2021-05-14,70221.49835110742,-14354.86902403616,0
2021-05-17,71093.33313050315,-8766.482475622934,0
2021-05-18,66541.995023385,6415.810020179846,0
2021-05-19,63274.78513488002,-1597.2293914641596,0
2021-05-20,56901.61869270554,-7713.836041666844,0
2021-05-21,56912.72261143027,1203.11771347812,0
2021-05-24,51878.39468182862,-7865.264893130858,0
2021-05-25,52893.07811527902,-1306.3474529798068,0
2021-05-26,51511.40851226749,-405.84827391639374,0
2021-05-27,46705.91570221016,54.22277172438021,0
2021-05-28,45984.51681178224,-1073.8039600690072,0
2021-06-01,44525.711912096376,78.99385081805303,0
2021-06-02,43914.904446942106,-1418.8498282899363,0
2021-06-03,39993.3780841367,-11029.381514000212,0
2021-06-04,47410.26737745286,-10163.89559322188,0
2021-06-07,50371.836415572594,-2838.86927073727,0
2021-06-08,51650.868251181986,3606.588451167904,0
2021-06-09,47605.9560252263,4314.211299279975,0
2021-06-10,47477.003360406045,-2328.9802560364624,0
2021-06-11,48126.51385477233,7638.203364886707,0
2021-06-14,47813.98544529003,2.5630222301324466,0
2021-06-15,46754.991983903135,4794.328994969079,0
2021-06-16,45133.05800943248,17249.97674058992,0
2021-06-17,52978.00187950284,32529.592210438605,0
2021-06-18,54507.96725700301,21701.56019125609,0
2021-06-21,64050.028437275774,-23027.7780305608,0
2021-06-22,67736.39704926277,-680.9566555402171,0
2021-06-23,62797.56219654466,1956.3135887603169,0
2021-06-24,63985.63419058438,-5366.119056135525,0
2021-06-25,62233.83027480363,-10547.488674395116,0
2021-06-28,61566.84839234921,624.6863810325767,0
2021-06-29,63181.51867971658,7837.279811754243,0
2021-06-30,63018.7579213848,-415.2938337282194,0
2021-07-01,64829.40360155982,-12600.685358870423,0
2021-07-02,45896.88129210818,-15552.148404485944,0
2021-07-06,47275.79830480051,3438.519113789138,0
2021-07-07,46242.42249569425,-5547.615479291589,0
2021-07-08,44707.581253398836,17130.03666842623,0
2021-07-09,46137.20286580384,-26412.292521966425,0
2021-07-12,49630.22735473231,-7047.228982519803,0
2021-07-13,45410.90494540931,3544.47246890491,0
2021-07-14,43680.15947328198,-6689.385436016075,0
2021-07-15,44204.135542655786,9408.186563390744,0
2021-07-16,41857.382084022785,9022.40344606302,0
2021-07-19,59248.06891925495,15411.473341949488,0
2021-07-20,56731.30954695524,-11130.020724381471,0
2021-07-21,53695.6052667292,-6318.7097390806375,0
2021-07-22,50214.695068972505,-1427.3987484562622,0
2021-07-23,47810.7351786249,-11808.563876230832,0
2021-07-26,44940.80780502638,-377.7455570392449,0
2021-07-27,41184.284522372254,3865.836874394673,0
2021-07-28,40606.68717739445,-2495.2295152821134,0
