,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2016-04-26,8029.919096663222,8797.935755374903,9200.316948711294,10080.206385326528,768.016658711681,3453.8627538857563,3784.0011082057595
2016-04-27,8029.698504787615,8796.440621115988,9200.27121391127,10078.70045253878,766.7421163283725,3454.3787599084617,3783.9692415747104
2016-04-28,8031.04115318908,8792.727671182878,9202.012301003417,10074.649519991894,761.6865179937977,3455.554558848148,3782.971849483515
2016-04-29,8034.107432247562,8804.510961809498,9205.891614834252,10088.515604696322,770.4035295619351,3457.953837446384,3789.1182080715535
2016-05-02,8028.41993486682,8804.553950880892,9201.203974181682,10090.393179054012,776.1340160140726,3460.904430619995,3794.5320985516773
2016-05-03,8025.3327508456105,8793.817332413986,9198.756866241814,10079.182385472035,768.4845815683757,3462.7933053587208,3793.1328002140303
2016-05-04,8024.416194337637,8798.687137565148,9197.82704020085,10084.881788683533,774.2709432275115,3462.754146754941,3795.5809573396414
2016-05-05,8032.831718505077,8804.222684459692,9206.957981229236,10090.713241932106,771.3909659546143,3464.8653533375586,3796.4541817163163
2016-05-06,8034.043544699582,8801.427371076605,9207.812804815234,10086.977227877576,767.3838263770231,3463.811832938148,3793.6781590109067
2016-05-09,8033.73476156343,8806.031557458286,9207.52983206009,10092.322869986598,772.2967958948557,3463.8879997847152,3795.866206704123
2016-05-10,8061.344225875882,8829.803286737362,9237.292713881548,10117.688994943357,768.4590608614799,3470.242769246147,3800.5712938131437
2016-05-11,8049.805008571477,8815.62556693958,9226.089039257364,10103.462481626715,765.8205583681029,3471.2329610544566,3800.427303359712
2016-05-12,8049.043191664244,8821.246379895108,9225.318830793141,10110.004625740221,772.2031882308647,3471.208197435753,3803.146166321531
2016-05-13,8054.177599322917,8828.203444217801,9230.634189889028,10117.408137908122,774.0258448948844,3471.742188016959,3804.463641042989
2016-05-16,8056.56204278434,8832.742878911193,9233.144424672682,10122.387269687044,776.1808361268531,3472.113400217883,3805.7611941648115
2016-05-17,8057.143360965765,8835.925853681396,9233.659840750595,10125.883311411806,778.7824927156307,3471.918922057888,3806.6850597477305
2016-05-18,8063.992646417957,8844.202921647335,9240.825250002934,10134.68448043235,780.2102752293777,3472.8518084409566,3808.231690330316
2016-05-19,8104.595496451713,8871.661763415059,9285.29928002424,10164.099886533353,767.0662669633457,3484.2757224110496,3814.0055429262247
2016-05-20,8103.186238986353,8855.05980052475,9283.749104388573,10145.143967330298,751.8735615383976,3483.859870639865,3807.058980252135
2016-05-23,8100.899963401371,8851.521785328872,9281.547252088505,10141.508041369814,750.6218219275015,3484.109005101981,3806.770044022046
2016-05-24,8101.377709076597,8850.91857462367,9282.041224391443,10140.763600300084,749.5408655470737,3484.156890139513,3806.353270960723
2016-05-25,8105.113107862578,8870.086732468875,9286.01543207175,10162.418572479453,764.9736246062976,3484.8616190007,3813.691899777902
2016-05-26,8100.863014147781,8869.029167953013,9281.465467081818,10161.52617492164,768.1661538052322,3483.976694078519,3814.1793101089997
2016-05-27,8096.417769696925,8865.041309334452,9276.879673864945,10157.464392424756,768.6235396375278,3483.5619324252893,3813.9611595634206
2016-05-31,8098.614310712985,8870.220501945405,9279.126108729335,10163.12794539678,771.6061912324203,3483.709169968565,3815.3905147246905
2016-06-01,8095.801280229008,8871.629086199495,9275.344041055308,10164.182431945048,775.8278059704871,3480.8495257441805,3814.345566739495
2016-06-02,8097.378756794833,8874.316952242962,9276.549816843031,10166.66034156063,776.9381954481287,3479.752630811545,3813.725981967576
2016-06-03,8095.322904021564,8870.920587238423,9274.927252566215,10163.501999981889,775.597683216859,3481.03127208465,3814.428392898595
2016-06-06,8118.776845531088,8886.656227767558,9303.948543083727,10183.68070691189,767.8793822364705,3497.4606079236796,3827.5399528080166
2016-06-07,8121.514206297055,8886.043229369261,9308.996137647377,10184.889913851955,764.5290230722057,3504.2781447575167,3832.9173098640777
2016-06-08,8121.836513900228,8881.430883808482,9309.127246932683,10179.367566089073,759.5943699082536,3503.713915467856,3830.231878831971
2016-06-09,8128.209504057553,8882.450668461825,9317.418550357701,10181.525891900186,754.2411644042713,3509.374888558308,3833.591731972257
2016-06-10,8123.82288208659,8876.420829805244,9313.472946725917,10175.697713213103,752.5979477186538,3510.676340720754,3834.186833762966
2016-06-13,8133.385147317362,8887.161332102882,9323.669672468532,10187.244303359315,753.77618478552,3512.5486438242115,3836.5656118781853
2016-06-14,8136.30670981115,8899.211849600433,9325.657879505257,10199.691230248056,762.9051397892836,3509.7942969637443,3837.735422322664
2016-06-15,8099.46019517032,8871.217959648013,9281.06942266076,10165.244911417489,771.757764477693,3486.947701873712,3818.694201651133
2016-06-16,8099.149887736,8874.22169425703,9280.775941135073,10168.748210278469,775.0718065210303,3486.9973553988166,3820.1684237372497
2016-06-17,8100.600543513864,8880.493187327995,9282.253796793553,10175.7491281801,779.8926438141307,3487.077622680928,3822.3209680622294
2016-06-20,8099.009187949635,8883.244535122489,9280.791891927667,10179.262504472963,784.2353471728538,3487.4596337592006,3824.5697263313173
2016-06-21,8099.081031098363,8889.688467430507,9280.79194501356,10186.562834026601,790.6074363321441,3487.2477801372092,3827.096968280712
2016-06-22,8129.032016066501,8915.35834104443,9313.453272347024,10214.319443975595,786.3263249779293,3495.2460437443297,3833.254960532897
2016-06-23,8133.215434570516,8919.76542281198,9317.824710552053,10218.947125246072,786.5499882414651,3495.8008928848903,3833.9059531892367
2016-06-24,8131.184225719007,8928.022236220735,9315.139305508183,10228.048342286223,796.8380105017277,3493.8703494730303,3836.397801791513
2016-06-27,8145.544207260098,9059.384937491048,9333.071457768518,10380.026359277786,913.8407302309497,3504.411882316862,3897.2339277333194
2016-06-28,8194.768251572945,9111.690984620192,9387.583043481589,10438.06888626787,916.9227330472477,3520.015501436554,3914.162371420605
2016-06-29,8191.1218614866575,9121.797373965308,9384.019083388288,10450.260997619802,930.6755124786505,3520.2587536623478,3920.317370373905
2016-06-30,8198.017946401,9120.969518674392,9393.815386628146,10451.208256612294,922.9515722733922,3528.8173442605034,3925.5557609746966
2016-07-01,8212.045741695718,9114.336571977972,9411.767107489575,10445.48969841867,902.2908302822543,3540.3969112771124,3928.254136050201
2016-07-05,8216.603952801132,9118.054931742376,9417.460473209667,10450.220876255335,901.4509789412441,3543.7467706746434,3931.242978357217
2016-07-06,8216.69377517239,9120.49564449163,9417.730593115168,10453.184327857192,903.8018693192389,3544.2788315777375,3932.785589059947
2016-07-07,8216.095085219738,9123.00066088646,9417.234710428047,10456.244251412721,906.9055756667221,3544.582217460256,3934.4231289536165
2016-07-08,8188.071346202752,9092.136374562593,9386.491162652357,10422.246389370302,904.0650283598416,3536.556018375098,3925.1758969616526
2016-07-11,8183.34144643855,9082.615515093239,9383.304040144274,10413.570434311525,899.2740686546895,3541.108778697694,3927.6692233712843
2016-07-12,8198.882570305721,9095.407504579458,9399.782077024178,10426.898885470604,896.524934273737,3543.8736239617624,3929.252330335751
2016-07-13,8215.781992995691,9103.276939223771,9417.526783462581,10434.29825498954,887.4949462280802,3546.368069803462,3927.865160643325
2016-07-14,8215.428099198674,9094.478476356375,9418.017055763723,10425.113884120492,879.0503771577005,3548.8592174413498,3926.726339967096
2016-07-15,8218.194583357752,9100.807708061166,9420.856810991276,10432.035352804702,882.6131247034136,3549.0754415346373,3928.474040752012
2016-07-18,8225.183918701146,9104.881959062823,9428.24549226399,10436.084325374433,879.6980403616762,3550.253917750042,3928.399443695674
2016-07-19,8223.548174643956,9103.931891285401,9426.547941627343,10435.172329723686,880.3837166414451,3550.071525546945,3928.5117951495426
2016-07-20,8205.907465593322,9090.281890532882,9407.738027348505,10420.934428351462,884.3744249395604,3546.6211822450696,3926.7768910313966
2016-07-21,8228.356747906726,9107.551496516222,9431.388954112099,10438.651183718885,879.194748609496,3550.1672542091137,3928.096436005276
2016-07-22,8225.639505168176,9106.832033879853,9429.673388576137,10439.224403964652,881.1925287116774,3553.123219631803,3931.9111638359755
2016-07-25,8223.441267316231,9107.18040635829,9427.346699785629,10439.815276275795,883.739139042058,3552.7441588606007,3932.6267847152685
2016-07-26,8230.525891745523,9110.13931278527,9435.153642318619,10442.895530074224,879.6134210397468,3554.8757311208,3932.984882746463
2016-07-27,8167.266950791104,9070.671397025697,9365.604755812014,10400.603177026549,903.4044462345928,3536.3140013392085,3924.6499232000215
2016-07-28,8173.102811248392,9072.555467894503,9372.912819735484,10403.383815828194,899.4526566461109,3540.6584972805613,3927.2957094889703
2016-07-29,8173.044319675522,9073.309583767465,9372.774042646053,10404.176014258102,900.2652640919423,3540.421573438949,3927.408091722731
2016-08-01,8165.416025930945,9060.267352483832,9366.032805405624,10391.23222086596,894.8513265528873,3543.0392913499213,3927.6985835126798
2016-08-02,8164.234054656282,9058.56386539947,9364.181699773404,10388.783633073974,894.3298107431883,3541.0646651739785,3925.499779424431
2016-08-03,8166.065559247583,9062.696375033038,9365.940131125008,10393.178244262726,896.6308157854546,3540.8490248765797,3926.273245299821
2016-08-04,8166.20429493806,9062.741149640115,9365.688638140808,10392.819103399017,896.5368547020544,3539.6974538252416,3925.0812842945766
2016-08-05,8168.143192318787,9065.79541281273,9367.54765347879,10395.955953751527,897.652220493942,3539.461720641296,3925.325000381453
2016-08-08,8187.252306317639,9088.268450977672,9388.456321088868,10420.718549926494,901.0161446600332,3544.7722320888042,3932.0815226356976
2016-08-09,8192.888614898035,9095.013650323674,9393.72391323753,10427.25655888181,902.125035425639,3543.6841440099683,3931.4701004837343
2016-08-10,8192.886214555832,9095.1787697256,9393.719679102007,10427.444246173527,902.2925551697681,3543.67873245659,3931.536698686935
2016-08-11,8189.360931380064,9089.27686445335,9390.47089916909,10421.472654627343,899.9159330732855,3544.49469794229,3931.3310533795966
2016-08-12,8190.988881405801,9092.600335665315,9392.058106088394,10425.00236001253,901.6114542595133,3544.3744643844952,3931.9396537185494
2016-08-15,8193.285654554245,9094.21439311337,9394.443376458334,10426.605467227324,900.9287385591251,3544.6356210985255,3931.9073394053075
2016-08-16,8186.08698724064,9087.786164919744,9387.129766038966,10420.174521572497,901.6991776791037,3544.2964221576603,3931.8993201339044
2016-08-17,8176.3862493766865,9079.497632821358,9376.74639596399,10411.409065537997,903.1113834446714,3542.281963600574,3930.491909981455
2016-08-18,8177.042956903034,9077.169622075404,9378.185376934054,10409.428560681445,900.1266651723699,3544.5904650267194,3931.517405411117
2016-08-19,8173.485418497995,9068.408808478178,9375.181619647385,10400.46359561956,894.923389980183,3546.2246819514944,3930.914951178388
2016-08-22,8183.4132770870765,9078.872423221641,9385.540459264937,10411.43623205453,895.4591461345644,3547.4965138497346,3932.4170823196437
2016-08-23,8186.363650091375,9081.745442213562,9388.590328528202,10414.397479570338,895.3817921221862,3547.7901288990092,3932.677446102742
2016-08-24,8186.574569470161,9082.854281214442,9388.524444010718,10415.360309705653,896.2797117442815,3546.973276180259,3932.2465716085358
2016-08-25,8210.440287591326,9098.19910752745,9414.435314888495,10431.509097160508,887.7588199361253,3553.0085546282776,3934.6190737782354
2016-08-26,8177.879778561765,9075.904557871298,9378.453457778473,10407.288585467832,898.0247793095323,3542.912101800287,3928.9355290487983
2016-08-29,8182.892554835555,9081.235459291109,9383.483520081498,10412.683112463554,898.3429044555542,3542.963113148635,3929.123289139486
2016-08-30,8173.633170054765,9077.122204135921,9373.747604318696,10408.842934827859,903.4890340811562,3541.5568626100135,3929.9291452608472
2016-08-31,8180.601963381801,9072.19483310866,9381.349451345744,10402.815768430717,891.5928697268591,3543.425014189292,3926.6836315594333
2016-09-01,8175.589595072823,9066.458430703702,9375.858923332027,10396.495740242004,890.8688356308794,3542.0139572638905,3924.961342550447
2016-09-02,8161.231772974597,9055.14094213625,9360.770833001616,10384.890852166607,893.9091691616522,3539.8589240475535,3924.1132220124327
2016-09-06,8163.138313769029,9050.288475556155,9364.085620020682,10380.462084246608,887.1501617871263,3544.014681147627,3925.36356352529
