,VaR,actual_loss,exception,cvm_pvalue
2017-03-30,13235.110133941558,0.2732277348211482,0,0.352
2017-03-31,13531.122933931716,4411.227237930113,0,0.352
2017-04-03,13537.915700225429,3552.275908620657,0,0.352
2017-04-04,13409.572305881868,-536.4293641879233,0,0.352
2017-04-05,13692.502538254148,1179.577825275411,0,0.352
2017-04-06,13350.928194685252,1234.07673905276,0,0.352
2017-04-07,13455.476954585232,-3051.213401922595,0,0.352
2017-04-10,13461.598894129147,899.6912961462481,0,0.352
2017-04-11,13568.964710868346,-581.5253723081119,0,0.352
2017-04-12,13497.016755699016,1936.0305970370016,0,0.352
2017-04-13,13457.083497442174,2246.915633145213,0,0.352
2017-04-17,13525.746671037059,-1205.757679297014,0,0.352
2017-04-18,13540.111623151892,5777.274243022299,0,0.352
2017-04-19,13868.345003261848,-1748.3624884280405,0,0.352
2017-04-20,13725.698309888045,-3581.2416633399,0,0.352
2017-04-21,13660.674141197302,-17.208704559433194,0,0.352
2017-04-24,13641.427184746059,-5430.956379374609,0,0.352
2017-04-25,13557.57567723476,-4919.408742718548,0,0.352
2017-04-26,13612.671875530752,114.3561787509566,0,0.352
2017-04-27,13491.866867065146,3375.6123523594883,0,0.352
2017-04-28,13759.040437453148,1966.841077155177,0,0.352
2017-05-01,13560.152408777914,-2574.449669283856,0,0.352
2017-05-02,13289.26527331356,3296.3227771576576,0,0.352
2017-05-03,13567.998987837398,337.3746460472089,0,0.352
2017-05-04,13317.757749308568,1055.9052169580273,0,0.352
2017-05-05,13565.15047615658,-4466.646497191271,0,0.352
2017-05-08,13711.625537432932,-842.084235427405,0,0.352
2017-05-09,13526.380397755911,445.67842279921047,0,0.352
2017-05-10,13558.696486141167,1164.356258608639,0,0.352
2017-05-11,13661.074402467211,2614.2409193201024,0,0.352
2017-05-12,13421.499120808225,5366.983920275506,0,0.352
2017-05-15,13227.251861114819,-6359.467381089016,0,0.352
2017-05-16,13502.120894538612,-1441.9420005562602,0,0.352
2017-05-17,13266.7391285056,780.3392102766702,0,0.352
2017-05-18,13523.176490693635,239.8609016688404,0,0.352
2017-05-19,13207.905497486621,1453.9158806938276,0,0.352
2017-05-22,13306.184667601696,-4676.910615481783,0,0.352
2017-05-23,13266.532782020395,-2650.0182235632897,0,0.352
2017-05-24,13402.675178967005,2984.327368912965,0,0.352
2017-05-25,13484.945014378985,-1470.8346585316922,0,0.352
2017-05-26,13428.101771158854,-1451.4159191205076,0,0.352
2017-05-30,13098.261251884833,5237.674961901519,0,0.352
