,VaR,VaR_raw,actual_loss,exception,sigma_hat,mu_hat,q_EVT,xi,xi_raw,xi_clamped,ks_pvalue,fallback_type,threshold_u,N_u,f_u_hat
2011-01-03,22001.823966697386,22001.823966697386,-5652.04281483298,0,0.008668171139841628,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2011-01-04,21547.539892166253,21547.539892166253,14941.832584023978,0,0.008494089415622127,0.0006186557062589066,2.6096023380278552,-0.01884798767283116,-0.01884798767283116,False,0.48763835395526056,none,1.338101301982446,50,0.9
2011-01-05,23250.891197135556,23250.891197135556,-7310.530407576097,0,0.009123551355614514,0.0006534416969977066,2.620068870377197,-0.03291701258723455,-0.03291701258723455,False,0.4105425784914639,none,1.344959101002674,50,0.9
2011-01-06,22875.254243025996,22875.254243025996,10047.396254685864,0,0.00900293437196062,0.0006534416969977066,2.613447457009478,-0.023357957020312153,-0.023357957020312153,False,0.5069926652082583,none,1.338101301982446,50,0.9
2011-01-07,23210.49592913409,23210.49592913409,11829.737961587456,0,0.009131210027631044,0.0006534416969977066,2.613447457009478,-0.023357957020312153,-0.023357957020312153,False,0.5069926652082583,none,1.338101301982446,50,0.9
2011-01-10,23826.3943401384,23826.3943401384,368.94789828846297,0,0.009387555101418027,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-11,23093.332345695297,23093.332345695297,-9394.057535868673,0,0.009106439661953871,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-12,23069.170357644478,23069.170357644478,-8598.82608189055,0,0.009097173995556318,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-13,22927.746221561934,22927.746221561934,7091.254361580668,0,0.009042940508529228,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-14,22766.32553295703,22766.32553295703,-1574.3002882916414,0,0.008981038721013634,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
2011-01-18,22070.08456779496,22070.08456779496,-4724.253887367633,0,0.008714043451339104,0.0006534416969977066,2.607690263617023,-0.012978082043550616,-0.012978082043550616,False,0.5558789541901321,none,1.344959101002674,50,0.9
