,VaR_MC_T_COPULA,actual_loss,exception
2009-08-07,40617.18988886397,-2707.8633055061728,0
2009-08-10,40585.88504962591,10961.460760098931,0
2009-08-11,41373.371934292976,9795.892260844092,0
2009-08-12,40903.23500640193,-5911.440861858928,0
2009-08-13,42249.84864146181,355.0176693100184,0
2009-08-14,45842.798028736244,16205.26767113811,0
2009-08-17,43314.27036546151,16018.830782299205,0
2009-08-18,40670.88734634259,-5355.846093882819,0
2009-08-19,41939.734291802684,-1994.2620173563475,0
2009-08-20,38102.79108569114,1106.5495116298791,0
2009-08-21,35983.19073389974,-20435.42953007827,0
2009-08-24,38924.40232002372,11450.327027977788,0
2009-08-25,38517.92263224517,-421.7386045011499,0
2009-08-26,37577.4051029589,1408.716749550997,0
2009-08-27,39146.08214746696,-6617.90594026353,0
2009-08-28,43546.10346582631,-2617.5955498559574,0
2009-08-31,39524.88126757028,8700.28112422278,0
2009-09-01,37142.51952046739,5595.619112805447,0
2009-09-02,40445.86393526343,-5254.259466223943,0
2009-09-03,40902.98086148924,-8722.593589537708,0
2009-09-04,39510.09835816933,-11503.433284476328,0
2009-09-08,39643.40075895036,-6074.23541050055,0
2009-09-09,36956.49040689354,-1911.193456301924,0
2009-09-10,38280.243094716825,1174.3725142660917,0
2009-09-11,46437.95826308378,-4190.767239381663,0
2009-09-14,43022.52616076769,-3453.133890440284,0
2009-09-15,44260.2647577539,-9563.718713760994,0
2009-09-16,42037.51942211287,-11376.422467670374,0
2009-09-17,44516.803605423374,6249.041273203078,0
2009-09-18,42166.60460077938,-638.895385263254,0
2009-09-21,39937.398221217,3378.033706309584,0
2009-09-22,44442.92300538352,-9316.894615878522,0
2009-09-23,42757.120254259426,9921.6172921065,0
2009-09-24,46159.499387393626,14232.218812127798,0
2009-09-25,39650.06286787818,7616.080095439618,0
2009-09-28,40669.13936820155,-5624.10535488516,0
2009-09-29,44226.26931187157,-271.0521077148044,0
2009-09-30,38081.11920957205,-7342.333660513935,0
2009-10-01,35053.778675771966,17605.360039264466,0
2009-10-02,36224.33469051646,-5256.150596638963,0
2009-10-05,33338.66650337479,-10162.805222717436,0
2009-10-06,37842.87569362662,-16670.12330617702,0
2009-10-07,38905.94176377859,2757.1617528472666,0
2009-10-08,39797.485591621575,-12682.91469489083,0
2009-10-09,35263.04964518924,-3798.417373343558,0
2009-10-12,38226.66676418419,-6321.7515666092495,0
2009-10-13,36424.511210611105,549.9759291732134,0
2009-10-14,36375.8446546081,-12752.621786604026,0
2009-10-15,38248.47720376214,2916.553677127701,0
2009-10-16,38625.312998419904,5466.901650359863,0
2009-10-19,38644.481981230376,-7312.646389916616,0
2009-10-20,40963.24581497125,10636.421174691444,0
2009-10-21,35856.50016173129,-5542.979491224137,0
2009-10-22,36789.76526794073,-4639.566268425014,0
2009-10-23,37474.662528458764,1843.15934354817,0
2009-10-26,38265.98301472944,8766.02303160341,0
2009-10-27,41567.196680670306,7645.702987218515,0
2009-10-28,39849.590024588004,14060.783657741082,0
2009-10-29,37968.52317236508,-20979.43394395315,0
2009-10-30,35201.01322101067,15474.11075333258,0
2009-11-02,36674.76004346239,-10586.86244411253,0
2009-11-03,39785.88427721157,-14155.836425214064,0
2009-11-04,35455.73305347551,-10420.736056503778,0
2009-11-05,36257.56100759031,-2625.4421518339127,0
2009-11-06,36988.87887280029,132.66600372610765,0
2009-11-09,38677.22934510958,-18819.78837944674,0
2009-11-10,42206.90678366931,1077.6363975248564,0
2009-11-11,38645.236254341566,-7672.753585466994,0
2009-11-12,38689.09484167045,15321.065578267837,0
2009-11-13,37631.67467485389,-7636.334995536517,0
2009-11-16,40166.48834520486,-7322.761814494317,0
2009-11-17,38929.10302097482,-29.74714391536924,0
2009-11-18,40112.48293814168,-3924.079969785956,0
2009-11-19,36710.2875547091,4249.195843866733,0
2009-11-20,38086.64311073143,-1477.6724290955503,0
2009-11-23,39113.1916934048,-11407.26780589615,0
2009-11-24,38213.006484809164,319.65134115931505,0
2009-11-25,38743.03891541145,-10815.400792461143,0
2009-11-27,39890.96599393117,14414.15682497259,0
2009-11-30,39244.25751310366,-4757.422292235972,0
2009-12-01,38122.28545328056,-15489.016348410849,0
2009-12-02,39486.641447526126,-10103.333762345525,0
2009-12-03,39434.505645680896,92.72115495661546,0
2009-12-04,39284.42676844554,21715.304423658014,0
2009-12-07,42892.16096250612,6177.152501358466,0
2009-12-08,39550.99350784042,18065.91054880993,0
2009-12-09,36647.466991980225,-4141.428182844006,0
2009-12-10,36871.779292192005,-2982.4165621809566,0
2009-12-11,37249.22990374377,5352.615090922548,0
2009-12-14,37042.09503095272,-7629.304567288553,0
2009-12-15,38535.38040414448,2068.795924119783,0
2009-12-16,39367.27792569077,-6962.622622313502,0
2009-12-17,42111.5677566365,33545.13261641036,0
2009-12-18,39957.36306846499,-11075.15284340909,0
2009-12-21,38823.402941886525,-302.9967952482216,0
2009-12-22,40438.47815471188,-6027.903919154597,0
2009-12-23,41205.59995180356,-4562.378787820981,0
2009-12-24,36094.955384088746,-13323.917785571011,0
2009-12-28,39436.812079724696,-2521.402389859484,0
2009-12-29,38906.5248059788,7789.591202336073,0
2009-12-30,36605.7436688752,3854.857502628852,0
2009-12-31,36961.60754593963,-1944.3371802217089,0
2010-01-04,40612.705290495935,-16820.566374435795,0
2010-01-05,37997.349508465944,6260.4880378139815,0
2010-01-06,39432.91910735764,-14298.754864083778,0
2010-01-07,39505.48523079863,3964.13147754688,0
2010-01-08,40936.35433267715,-3916.4121855084622,0
2010-01-11,39884.06176522754,-10942.309170624529,0
2010-01-12,44302.17582153213,21141.325207434944,0
2010-01-13,43317.85306959309,-11500.247038251293,0
2010-01-14,41330.84569868826,-805.8407339322184,0
2010-01-15,42559.73722338604,14856.145544785646,0
2010-01-19,39610.65380583579,-6096.249625895052,0
2010-01-20,42021.468289887176,21865.157371088677,0
2010-01-21,40389.681685546566,15980.057929777631,0
2010-01-22,37010.081698903174,3571.8973920591625,0
2010-01-25,40642.398248925514,-4336.22548195823,0
2010-01-26,36998.169031497884,2489.1631102743518,0
2010-01-27,36372.37439012396,5606.932726633714,0
2010-01-28,35084.941689395266,2155.7314249952105,0
2010-01-29,37674.29044002481,8854.998383317668,0
2010-02-01,35851.57690289977,-16822.671760357873,0
2010-02-02,40033.365292343246,-5774.725710349774,0
2010-02-03,34836.81514539076,1540.1640044428427,0
2010-02-04,35979.82614556016,32609.567907582183,0
2010-02-05,36182.397731245605,-2762.37649931984,0
