,VaR_MC_COPULA,actual_loss,exception
2009-01-16,37879.18108581726,-21957.130891070905,0
2009-01-20,37381.533939609544,-2407.8496833847403,0
2009-01-21,37462.30316939899,-14832.962367976215,0
2009-01-22,35546.31184799149,-3030.5818856672417,0
2009-01-23,37495.807569668636,-20739.521158174102,0
2009-01-26,36578.54032346785,-10527.70496155349,0
2009-01-27,36928.37766548512,9522.649452860229,0
2009-01-28,41054.86601789411,-6895.80931444936,0
2009-01-29,39762.85531103341,-10370.9859489983,0
2009-01-30,38020.215193743614,-3820.4240018180544,0
2009-02-02,38138.06972116364,19548.79411933986,0
2009-02-03,38022.60922823301,-11782.927826969571,0
2009-02-04,37022.62440262442,-2854.589642057214,0
2009-02-05,35175.94650358022,-5334.961276614158,0
2009-02-06,40153.86947462448,-10576.235236694114,0
2009-02-09,39519.22057951879,4401.078775123648,0
2009-02-10,37354.84948895443,8488.624773604291,0
2009-02-11,38434.076803743854,-902.8393040609208,0
2009-02-12,38762.28806532885,-1232.1309294321218,0
2009-02-13,37429.14971199506,-5027.647204848642,0
2009-02-17,40832.053878295104,10360.681062200374,0
2009-02-18,37648.40520985458,-12760.53241043113,0
2009-02-19,36677.85410221563,-3641.596758093392,0
2009-02-20,41859.41436174236,-9590.029852322292,0
2009-02-23,35575.13705504707,7060.227842460316,0
2009-02-24,35833.879436751835,10546.09593375429,0
2009-02-25,37487.12104317359,2324.892284423282,0
2009-02-26,39226.213894200075,1589.0527362563507,0
2009-02-27,38024.02945545353,2768.3999868382925,0
2009-03-02,38140.28190650457,20926.53429513626,0
2009-03-03,37164.44148794907,4997.628075498292,0
2009-03-04,36064.01675527422,-4055.894259800586,0
2009-03-05,38322.59073271378,3482.447902063217,0
2009-03-06,40444.896232583735,-1580.6098039589897,0
2009-03-09,38238.75520879225,4262.422280665336,0
2009-03-10,34290.48374044532,-1164.669344221791,0
2009-03-11,43332.41321598678,-6158.193773523488,0
2009-03-12,36008.14046990933,-10700.452716462734,0
2009-03-13,34501.661658557605,-2496.670289803741,0
2009-03-16,37638.01576190008,-3204.68718788905,0
2009-03-17,37365.2277096535,-5213.527767579016,0
2009-03-18,35813.6238072609,6127.510201975203,0
2009-03-19,35486.51824533691,-15408.325371534098,0
2009-03-20,36211.264431676034,5413.047348024509,0
2009-03-23,39278.84471927711,-8517.704583412726,0
2009-03-24,38400.82109953381,13700.256487026778,0
2009-03-25,39110.34817151666,-18238.87220848522,0
2009-03-26,38276.601426855574,113.8024023642938,0
2009-03-27,39003.33662055746,14154.532405526532,0
2009-03-30,41664.9869216812,16316.298655301887,0
2009-03-31,39731.33666084344,-2755.123606558125,0
2009-04-01,38730.7178144352,-5476.087947631853,0
2009-04-02,41744.26424206136,-7539.566736792115,0
2009-04-03,42826.590193520584,-5961.994899127626,0
2009-04-06,40777.651604613566,12355.4879317207,0
2009-04-07,41427.753301490404,-2741.1954848612118,0
2009-04-08,43967.82438116169,4312.335558975638,0
2009-04-09,45392.37344474012,-10622.574515772634,0
2009-04-13,43027.02139697784,-6552.474439035764,0
