,VaR_MC_COPULA
2020-03-06,16646.09740382466
2020-03-09,16734.606664705374
2020-03-10,15906.72314216952
2020-03-11,18156.89261237322
2020-03-12,20227.0490290369
2020-03-13,18464.62621817577
2020-03-16,21182.97362371352
2020-03-17,19102.425789227964
2020-03-18,19395.645573242127
2020-03-19,19639.13538867095
2020-03-20,19594.596871456786
2020-03-23,18896.950391410333
2020-03-24,17403.649220942745
2020-03-25,18119.111595257287
2020-03-26,18282.45998834825
2020-03-27,19592.145933931068
2020-03-30,18763.705238072835
2020-03-31,20421.369513902715
2020-04-01,18533.32435618121
2020-04-02,18909.1802790839
2020-04-03,17762.786798449757
2020-04-06,22082.918797528062
2020-04-07,22309.233842933943
2020-04-08,25654.249687853033
2020-04-09,27732.975445969227
2020-04-13,27333.68114627536
2020-04-14,31942.60773215528
2020-04-15,29123.081714625318
2020-04-16,30514.113803097312
2020-04-17,30875.309293026356
2020-04-20,30827.348966386973
2020-04-21,27727.045466230917
2020-04-22,32040.45140611273
2020-04-23,32552.202662755906
2020-04-24,18810.84270569312
2020-04-27,17521.871725061854
2020-04-28,17915.801297340375
2020-04-29,18822.557884909715
2020-04-30,18461.98874219138
2020-05-01,18699.606300822936
2020-05-04,16719.506474353875
2020-05-05,19070.054885828555
2020-05-06,19363.9812427916
2020-05-07,18199.72123268621
2020-05-08,19870.00461713496
2020-05-11,20825.216375499927
2020-05-12,19651.561277217344
2020-05-13,18393.964567215247
2020-05-14,19850.275770795575
2020-05-15,17025.401173436356
2020-05-18,20762.997323193384
2020-05-19,19246.01400471891
2020-05-20,22799.595944049364
2020-05-21,21435.722684344302
2020-05-22,22395.0111829432
2020-05-26,25368.1223326335
2020-05-27,29876.56627144999
2020-05-28,26325.68729763205
2020-05-29,29291.386735969685
2020-06-01,29419.458265425077
2020-06-02,32890.170910792964
2020-06-03,33215.32541549386
2020-06-04,32651.906629554345
2020-06-05,31914.577950629904
2020-06-08,18964.483360722257
2020-06-09,15400.989536671746
2020-06-10,17884.95591846665
2020-06-11,17329.051346688957
2020-06-12,16360.624984297516
2020-06-15,16626.863634304955
2020-06-16,17421.082921372144
2020-06-17,16918.831606236956
2020-06-18,18476.836383569458
2020-06-19,17333.79495185837
2020-06-22,16473.533623224743
2020-06-23,16663.15560663264
2020-06-24,16694.989857869234
2020-06-25,17188.096102106287
2020-06-26,15837.51128013883
2020-06-29,16541.683922258402
2020-06-30,15431.716696687818
2020-07-01,17560.526825816338
2020-07-02,16589.510417786372
2020-07-06,16185.791520180253
2020-07-07,16512.642473830223
2020-07-08,17825.27222749856
2020-07-09,17198.848051639725
2020-07-10,16030.585865192645
2020-07-13,16810.694682905327
2020-07-14,18711.188565192242
2020-07-15,18862.35228929859
2020-07-16,19065.10576036059
2020-07-17,21878.650238912527
2020-07-20,18850.379530024555
2020-07-21,17261.47801621716
2020-07-22,17769.466229067286
2020-07-23,17697.912994166967
2020-07-24,17228.849151242626
2020-07-27,16299.24110185983
2020-07-28,18370.31041743501
2020-07-29,17724.243931440116
2020-07-30,18343.31914769359
2020-07-31,17963.773608751948
2020-08-03,17245.73350209473
2020-08-04,20206.515691391927
2020-08-05,19210.339787924884
2020-08-06,21793.168805978476
2020-08-07,21005.473167253378
2020-08-10,20597.861472960023
2020-08-11,19349.694242949903
2020-08-12,22070.422940543514
2020-08-13,22783.88235721569
2020-08-14,20845.231705535032
2020-08-17,22302.00573864256
2020-08-18,23417.353517718788
2020-08-19,22258.512094774174
2020-08-20,24966.547595999727
2020-08-21,26741.510760755697
2020-08-24,28150.569315234832
2020-08-25,29477.123507852866
2020-08-26,33163.60506902072
2020-08-27,33453.38145048273
2020-08-28,33504.004813081796
2020-08-31,35163.88693949273
2020-09-01,17219.553038288526
2020-09-02,17541.08766925526
2020-09-03,15463.648894239293
2020-09-04,17098.201611696702
2020-09-08,16960.479062971972
2020-09-09,17329.81218239661
2020-09-10,15661.43699434739
2020-09-11,18592.379232418043
2020-09-14,17655.262367951495
2020-09-15,17818.866088919116
2020-09-16,15646.518190012148
2020-09-17,17858.427117691943
2020-09-18,15021.433308116422
2020-09-21,15589.636914708724
2020-09-22,16089.834706727124
2020-09-23,17143.392253393147
2020-09-24,15792.968468123543
2020-09-25,15001.443773480709
2020-09-28,16041.388610745002
2020-09-29,16238.698027776243
2020-09-30,15985.951026118999
2020-10-01,15326.466135934228
2020-10-02,16098.618462541845
2020-10-05,15968.708180921501
2020-10-06,17193.68267623873
2020-10-07,18062.81309691347
2020-10-08,18659.638413474895
2020-10-09,18870.023301977777
2020-10-12,20145.170049426786
2020-10-13,16968.227142274256
2020-10-14,16666.80275557251
2020-10-15,18492.342590025746
2020-10-16,17600.681042713455
2020-10-19,17672.49950662291
2020-10-20,16162.97906232905
2020-10-21,17340.8918136147
2020-10-22,16734.007637921153
2020-10-23,18094.908783770326
2020-10-26,16003.834366825933
2020-10-27,16209.24436064563
2020-10-28,16493.992033411436
2020-10-29,18646.077189258016
2020-10-30,16219.295004991754
2020-11-02,16075.017893350469
2020-11-03,17876.5860192979
2020-11-04,17011.084968307656
2020-11-05,17610.745324412186
2020-11-06,18373.16765952511
2020-11-09,19904.3914239572
2020-11-10,18436.311105500918
2020-11-11,22103.304149729716
2020-11-12,19653.583560065712
2020-11-13,23941.19344908892
2020-11-16,25421.471101431627
2020-11-17,24524.124441275228
2020-11-18,21699.580485231192
2020-11-19,23882.201141725855
2020-11-20,21466.10088885566
2020-11-23,26888.757667707
2020-11-24,30965.693226438332
2020-11-25,18707.56286885536
2020-11-27,17478.11833007424
2020-11-30,19380.16228420219
2020-12-01,17184.288537305554
2020-12-02,19427.434292142298
2020-12-03,17312.21339981979
2020-12-04,19285.793116543155
2020-12-07,19211.163123439866
2020-12-08,18838.836816561703
2020-12-09,19530.276918255848
2020-12-10,20370.672570506606
2020-12-11,18623.007136400924
2020-12-14,19754.547642689024
2020-12-15,21692.971537931044
2020-12-16,21758.712814245904
2020-12-17,22776.382964685763
2020-12-18,21977.58215872699
2020-12-21,21333.63009946968
2020-12-22,21363.461835285918
2020-12-23,21101.523538837107
2020-12-24,23670.184196377748
2020-12-28,26349.57941815949
2020-12-29,26414.433168555817
2020-12-30,26551.740850038892
2020-12-31,27973.87488530428
2021-01-04,23251.307106923734
2021-01-05,26525.751798261557
2021-01-06,31186.955483481728
2021-01-07,40835.19184714253
2021-01-08,44576.50016663891
2021-01-11,17768.48825097876
2021-01-12,19019.82452169942
2021-01-13,17752.506350675943
2021-01-14,17018.972950658466
2021-01-15,16780.52508659657
2021-01-19,19144.31118465508
2021-01-20,20824.633285165848
2021-01-21,19413.807554337604
2021-01-22,18528.62976398972
2021-01-25,21477.417107779645
2021-01-26,20745.27660775393
2021-01-27,18484.285566577993
2021-01-28,17661.54232219024
2021-01-29,17502.292569728754
2021-02-01,17470.88785442573
2021-02-02,19766.57173055577
2021-02-03,19348.389789467215
2021-02-04,21960.002444922124
2021-02-05,23023.4598179217
2021-02-08,26331.444648837114
2021-02-09,25761.154857094247
2021-02-10,25472.11843324294
2021-02-11,25844.684863232735
2021-02-12,30786.509066644772
2021-02-16,28879.725352186168
2021-02-17,29749.136106169277
2021-02-18,29884.827240604885
2021-02-19,29260.890889452883
2021-02-22,25327.76404538517
2021-02-23,25670.4716266405
2021-02-24,17725.120598696823
2021-02-25,17725.153325107854
2021-02-26,17443.2154542434
2021-03-01,17107.192683287918
2021-03-02,18484.38240830271
2021-03-03,15408.939892413598
2021-03-04,16239.810040753338
2021-03-05,15552.100545904614
2021-03-08,15918.58126029798
2021-03-09,16836.57710197367
2021-03-10,17469.69619522799
2021-03-11,20063.60839238338
2021-03-12,19632.905108903546
2021-03-15,21673.583300609767
2021-03-16,17506.74929441226
2021-03-17,20845.119123020537
2021-03-18,17120.921414883687
2021-03-19,16253.134195735667
2021-03-22,17918.5667901778
2021-03-23,15944.222066422839
2021-03-24,15455.356374895278
2021-03-25,17636.21764978849
2021-03-26,19665.586521688954
2021-03-29,21028.541066471043
2021-03-30,20275.051878223676
2021-03-31,21285.240857574023
2021-04-01,28121.009670967123
2021-04-05,36225.87761853641
2021-04-06,36720.765675195405
2021-04-07,37734.910745328154
2021-04-08,18312.68349882532
2021-04-09,19702.218670477745
2021-04-12,18924.568417750917
2021-04-13,18547.591315661048
2021-04-14,17949.336005020035
2021-04-15,21487.541197591807
2021-04-16,20952.480241224606
2021-04-19,21584.46346533564
2021-04-20,19135.69591152759
2021-04-21,21327.45985012917
2021-04-22,20347.912544840554
2021-04-23,21381.426702570134
2021-04-26,21564.040629893563
2021-04-27,21107.84542679846
2021-04-28,23839.01332417954
2021-04-29,24620.214459767547
2021-04-30,21767.764785573094
2021-05-03,22597.59120325222
2021-05-04,20860.723483474292
2021-05-05,21063.45373600723
2021-05-06,23725.38580103609
2021-05-07,29624.94336786382
2021-05-10,23567.36404998578
2021-05-11,21123.113067662674
2021-05-12,16538.596792734737
2021-05-13,16859.43388335531
2021-05-14,23539.808376870642
2021-05-17,24030.11474561034
2021-05-18,20203.94599659193
2021-05-19,15628.607363314744
2021-05-20,16991.75492231856
2021-05-21,17942.796500317636
2021-05-24,19243.441906301287
2021-05-25,17255.984382283918
2021-05-26,19322.51978106392
2021-05-27,19347.69573508212
2021-05-28,19073.28967220611
2021-06-01,20053.5989796823
2021-06-02,19830.18492687331
2021-06-03,18533.58468309887
