,VaR_MC_GARCH_COPULA
2013-01-18,13700.5866904653
2013-01-22,13355.723112950614
2013-01-23,13214.419459251563
2013-01-24,13202.00411329014
2013-01-25,13222.014861830028
2013-01-28,13953.196405776784
2013-01-29,14235.946346451863
2013-01-30,14017.986837909213
2013-01-31,13426.664921745542
2013-02-01,13934.587378987966
2013-02-04,13180.825713747883
2013-02-05,13996.108157789307
2013-02-06,13788.620592312447
2013-02-07,13762.619717529085
2013-02-08,14073.207018542227
2013-02-11,14083.95963140724
2013-02-12,14140.189660690909
2013-02-13,14280.650389884557
2013-02-14,14223.202298759998
2013-02-15,14140.55717058868
2013-02-19,14632.229754778251
2013-02-20,14061.997788924838
2013-02-21,14946.931339999051
2013-02-22,16846.58209259497
2013-02-25,13877.221013195765
2013-02-26,15444.39181820221
2013-02-27,18795.001376178432
2013-02-28,17769.263816707655
2013-03-01,11846.515843202256
2013-03-04,12285.556249955624
2013-03-05,12549.441924614854
2013-03-06,12932.734429764681
2013-03-07,12943.301682989244
2013-03-08,13464.320896589332
2013-03-11,14415.71297821742
2013-03-12,14038.126403115684
2013-03-13,13411.38506225425
2013-03-14,14008.346948310975
2013-03-15,13946.277016069826
2013-03-18,12461.816589055996
2013-03-19,12220.08832327368
2013-03-20,12890.725213805426
2013-03-21,11892.160620356988
2013-03-22,12286.331720368438
2013-03-25,11762.956496261953
2013-03-26,12296.787332920017
2013-03-27,12025.208662789335
2013-03-28,12561.630198815697
2013-04-01,12082.0852003243
2013-04-02,11826.416406527378
2013-04-03,10804.795874784673
2013-04-04,13580.494050537083
2013-04-05,13286.927364863377
2013-04-08,13250.156550511005
2013-04-09,13860.24827069506
2013-04-10,15362.162974146495
2013-04-11,15018.088703075271
2013-04-12,14557.70503181696
2013-04-15,15114.030967212393
2013-04-16,23859.345267632267
2013-04-17,22134.424865156503
2013-04-18,20812.66621921292
2013-04-19,20746.785872507604
2013-04-22,20302.143626684287
2013-04-23,21067.681494753502
2013-04-24,20809.79654831718
2013-04-25,19935.026004963245
2013-04-26,20585.12328891322
2013-04-29,20390.355845271486
2013-04-30,20706.450601271717
2013-05-01,18991.212777969296
2013-05-02,19732.67950834601
2013-05-03,20775.53377649936
2013-05-06,20908.307342664746
2013-05-07,21337.775335469356
2013-05-08,20843.50735978809
2013-05-09,20558.167962265088
2013-05-10,20582.588753230928
2013-05-13,19701.352554307494
2013-05-14,19453.02518374438
2013-05-15,20022.98190202844
2013-05-16,19568.9972330425
2013-05-17,19607.375357205714
2013-05-20,20264.79971995903
2013-05-21,20371.422117445072
2013-05-22,19704.022643999513
2013-05-23,17920.33200136763
2013-05-24,18687.32330360479
2013-05-28,13879.702796813908
2013-05-29,14320.115749168594
2013-05-30,14997.55642095898
2013-05-31,14481.894103941328
2013-06-03,14246.325307542746
2013-06-04,13575.013692149814
2013-06-05,12718.675586675023
2013-06-06,12743.019855774714
2013-06-07,13086.48158229099
2013-06-10,13238.17385057001
2013-06-11,12727.423471736036
2013-06-12,12288.115753672408
2013-06-13,12662.912051607198
2013-06-14,12491.560362464617
2013-06-17,12327.974656818205
2013-06-18,12953.033046902217
2013-06-19,11284.477784804569
2013-06-20,11080.071323099584
2013-06-21,12174.482011816732
2013-06-24,12476.368008369132
2013-06-25,12471.52798836004
2013-06-26,11878.622311303461
