,snapshot_date,current_portfolio_value,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,quantile_method,historical_window_mean_loss,historical_window_vol_loss,avg_vol_ratio,realised_loss,realised_pnl,exception
2021-11-01,2021-10-29,2688355.4488571556,49445.49786993675,61704.60154863307,5,empirical_order_statistic,-1724.2617982980832,16770.419057179017,0.7933056890170742,-7503.751715463586,7503.751715463586,0
2021-11-02,2021-11-01,2695859.200572619,50747.14594230661,62073.492395925896,5,empirical_order_statistic,-1716.410632354821,16797.606193250696,0.7880799415216053,-6025.2084585228,6025.2084585228,0
2021-11-03,2021-11-02,2701884.409031142,53723.23556548776,64255.763144469915,5,empirical_order_statistic,-1744.2743574198196,17221.161731778884,0.779594893093619,-7412.1026621446945,7412.1026621446945,0
2021-11-04,2021-11-03,2709296.5116932867,58113.76172363851,68038.4501248871,5,empirical_order_statistic,-1785.5213034992685,17969.643198403064,0.7837547299546482,-15163.283070664853,15163.283070664853,0
2021-11-05,2021-11-04,2724459.7947639516,60174.23589295754,69926.46328292406,5,empirical_order_statistic,-1820.6348826503242,18325.072294500056,0.7922658056720508,-11166.055695091374,11166.055695091374,0
2021-11-08,2021-11-05,2735625.850459043,60995.469314692076,71085.90414363173,5,empirical_order_statistic,-1839.5827903600466,18569.38684673572,0.8074713942478869,-8697.278615306597,8697.278615306597,0
2021-11-09,2021-11-08,2744323.1290743495,61364.54861674551,71161.19055709383,5,empirical_order_statistic,-1834.0045044939873,18560.164456088234,0.8012717695270958,5328.934401846491,-5328.934401846491,0
2021-11-10,2021-11-09,2738994.194672503,60907.947740064934,70860.69013978596,5,empirical_order_statistic,-1812.0698017371735,18527.88890102164,0.8024226280206408,2573.2728345184587,-2573.2728345184587,0
2021-11-11,2021-11-10,2736420.9218379846,58693.02594251279,69301.61699297586,5,empirical_order_statistic,-1757.7773732864578,18301.764834685655,0.8182757738184495,-963.7417834014632,963.7417834014632,0
2021-11-12,2021-11-11,2737384.663621386,59754.692124229856,69996.16339621562,5,empirical_order_statistic,-1728.5766231912412,18295.21912486509,0.8164046321489096,-19618.192603819538,19618.192603819538,0
2021-11-15,2021-11-12,2757002.8562252056,63830.40803156374,73314.73505410198,5,empirical_order_statistic,-1772.79955679899,18847.876260695626,0.8181883164900191,-2142.2328900778666,2142.2328900778666,0
2021-11-16,2021-11-15,2759145.0891152835,64086.2759028459,73382.50909621277,5,empirical_order_statistic,-1776.1562220740532,18775.714685080635,0.8146459259702631,-466.6229766844772,466.6229766844772,0
2021-11-17,2021-11-16,2759611.712091968,64577.52587782452,73462.68215783034,5,empirical_order_statistic,-1763.6068593096752,18701.673165318272,0.8146493152632038,-89.44772346829996,89.44772346829996,0
2021-11-18,2021-11-17,2759701.159815436,64678.53216690011,73689.50553424991,5,empirical_order_statistic,-1763.568362778629,18747.330629643126,0.8169410339600195,-3910.0357648036443,3910.0357648036443,0
2021-11-19,2021-11-18,2763611.19558024,65089.539202930406,73893.95981075996,5,empirical_order_statistic,-1744.4568267809534,18777.426385880695,0.8126124197278134,12744.227158800233,-12744.227158800233,0
2021-11-22,2021-11-19,2750866.9684214396,59066.00741457334,64631.34844573653,5,empirical_order_statistic,19502.036682138063,10945.525516006734,0.8149299776453983,36526.95264114393,-36526.95264114393,0
2021-11-23,2021-11-22,2714340.0157802957,35149.29078154685,41271.378895207214,5,empirical_order_statistic,-903.3273888646002,10815.661469290837,0.8301066926305092,4273.297768306453,-4273.297768306453,0
2021-11-24,2021-11-23,2710066.7180119893,35440.89837391814,41516.457101751774,5,empirical_order_statistic,-876.0007550091659,10882.466730620246,0.8303496351177051,1189.811771731358,-1189.811771731358,0
2021-11-26,2021-11-24,2708876.906240258,36522.270075897686,42351.050583127326,5,empirical_order_statistic,-939.0862547692153,11159.24671023443,0.8328445392793893,17108.52096924372,-17108.52096924372,0
2021-11-29,2021-11-26,2691768.385271014,31306.39273286704,37743.66900123637,5,empirical_order_statistic,-483.2629776587514,9605.085796034766,0.9169505265626974,-4180.646705973428,4180.646705973428,0
2021-11-30,2021-11-29,2695949.0319769876,32753.929810386617,40073.87069683689,5,empirical_order_statistic,-827.2220395047236,10494.385081142758,0.9346969016255886,25505.70211931877,-25505.70211931877,0
2021-12-01,2021-11-30,2670443.329857669,31842.178549438715,37646.367414482964,5,empirical_order_statistic,-500.8475795660736,9669.699619689562,0.949886160173867,-144.2469811597839,144.2469811597839,0
2021-12-02,2021-12-01,2670587.5768388286,29480.685344921425,35625.69047292229,5,empirical_order_statistic,-296.7116436642464,9086.489411241537,0.945433185977904,-3599.7274337052368,3599.7274337052368,0
2021-12-03,2021-12-02,2674187.304272534,31588.774501524866,38052.93484972753,5,empirical_order_statistic,-482.30408465763554,9892.45581611697,0.9494635819744716,4936.273431504145,-4936.273431504145,0
2021-12-06,2021-12-03,2669251.0308410297,32224.944870558567,37429.97536014952,5,empirical_order_statistic,-300.7981348783821,9582.343789619645,0.9578902072556196,-8018.0053771710955,8018.0053771710955,0
2021-12-07,2021-12-06,2677269.036218201,32323.23463669233,39356.19189474359,5,empirical_order_statistic,-497.34676233039147,10287.88479153579,0.9626235544856706,-18455.429255180992,18455.429255180992,0
2021-12-08,2021-12-07,2695724.465473382,40392.920613989234,45928.67421636805,5,empirical_order_statistic,-1111.004895116478,12603.981969700533,0.9764662699561857,-1158.3019934240729,1158.3019934240729,0
2021-12-09,2021-12-08,2696882.767466806,41901.44619205827,46908.29629242308,5,empirical_order_statistic,-1280.0009179530684,13116.80375624008,0.9747806514937434,11776.874119852204,-11776.874119852204,0
