forecast_date,exposure_date,portfolio_value_linear,mu_deltaV,sigma_deltaV,VaR_DN_full,VaR_DN_nodrift
2011-12-12,2011-12-09,1727888.6005315725,825.2801034166641,10096.647323553212,22663.033932671497,23488.31403608816
2011-12-13,2011-12-12,1704938.5284974906,737.4974711699068,9904.200727810663,22303.11883604618,23040.616307216085
2011-12-14,2011-12-13,1683325.4517169753,715.9089881538533,9730.083486922988,21919.65004588933,22635.559034043185
2011-12-15,2011-12-14,1652735.4397309157,621.3647397121983,9528.771782443775,21545.873238596232,22167.23797830843
2011-12-16,2011-12-15,1650094.0138798777,604.068871809395,9501.503031313705,21499.732505279848,22103.801377089243
2011-12-19,2011-12-16,1666909.780136258,669.1151310957355,9665.844401122378,21817.00144226487,22486.116573360607
2011-12-20,2011-12-19,1663806.5839739707,661.1460130669243,9639.052083097242,21762.64230821528,22423.788321282205
2011-12-21,2011-12-20,1677679.967242662,686.5427961095663,9790.76016557655,22090.171300323193,22776.71409643276
2011-12-22,2011-12-21,1679461.8397581135,734.1095372180737,9752.047159797197,21952.544640522156,22686.65417774023
2011-12-23,2011-12-22,1676134.4261244358,754.4644393253207,9679.61853813406,21763.69556838916,22518.160007714483
2011-12-26,2011-12-23,1678635.586135254,773.5961201675399,9697.870933494656,21787.02530869022,22560.621428857758
2011-12-27,2011-12-26,1678405.5977273039,767.4127000021379,9697.022006507654,21791.23382936419,22558.646529366328
2011-12-28,2011-12-27,1672377.2745675796,752.970725605044,9632.23927484407,21654.96863368115,22407.939359286192
2011-12-29,2011-12-28,1653321.087990529,716.4472071337619,9458.190092022316,21286.593205716497,22003.04041285026
2011-12-30,2011-12-29,1650430.1030981157,719.9124576155074,9426.633862330187,21209.717187377722,21929.62964499323
2012-01-02,2011-12-30,1658791.1665628087,756.0464174887014,9505.999229464298,21358.21468060944,22114.26109809814
2012-01-03,2012-01-02,1658874.8797675117,716.02655508982,9466.666963286918,21306.734009205364,22022.760564295182
2012-01-04,2012-01-03,1678937.1483273888,749.2494961529612,9710.380267893615,21840.472996189477,22589.72249234244
2012-01-05,2012-01-04,1684260.3705201843,777.2078325806573,9751.538143311667,21908.262195740608,22685.470028321266
2012-01-06,2012-01-05,1687541.1640881598,866.1139197568582,9640.788387345805,21561.71364922268,22427.827568979537
2012-01-09,2012-01-06,1682792.977954932,849.4778011422826,9606.964823811606,21499.664392716986,22349.14219385927
2012-01-10,2012-01-09,1677861.8885282704,852.4769620629161,9566.10426726689,21401.609362946427,22254.086325009343
2012-01-11,2012-01-10,1691613.5106806455,861.4832224876936,9686.263356013074,21672.13494317302,22533.618165660715
2012-01-12,2012-01-11,1698393.3283668142,888.697659176133,9739.169266983903,21767.998059995763,22656.695719171898
2012-01-13,2012-01-12,1701025.887802964,865.9307457652693,9754.328855325779,21826.031449517086,22691.962195282355
2012-01-16,2012-01-13,1698020.0528560663,857.254665227443,9698.875065910821,21705.702724941915,22562.95739016936
2012-01-17,2012-01-16,1694415.530678655,851.7696042901586,9693.543245030824,21698.78411571025,22550.553720000407
2012-01-18,2012-01-17,1702157.0828718934,819.466798992882,9697.52668311814,21740.353783733328,22559.82058272621
2012-01-19,2012-01-18,1710934.9786561495,854.3346104966002,9767.649298901028,21868.615570378315,22722.950180874916
2012-01-20,2012-01-19,1710829.0453043603,847.0588952090152,9758.145922614318,21853.7831264451,22700.842021654116
2012-01-23,2012-01-20,1716634.257968788,860.7963108408326,9810.411398045288,21961.633388467853,22822.429699308686
2012-01-24,2012-01-23,1718480.5690090451,874.5401440747648,9856.63950107175,22055.43220443047,22929.97234850524
2012-01-25,2012-01-24,1716135.2182722045,886.2865560076544,9791.92882413358,21893.14624677473,22779.432802782383
2012-01-26,2012-01-25,1741505.1958294131,957.5203756762579,10082.141163716924,22497.047286316258,23454.567661992514
2012-01-27,2012-01-26,1747456.4103851344,957.410708043865,10120.519685679388,22586.438746924858,23543.849454968724
2012-01-30,2012-01-27,1756214.7550852066,960.6672916428968,10201.583562196061,22771.764940121895,23732.432231764793
2012-01-31,2012-01-30,1754522.8105347713,949.332470301614,10156.497624328658,22678.21418575621,23627.546656057824
2012-02-01,2012-01-31,1760507.8850218286,939.7896703142206,10204.868579730102,22800.284655007075,23740.074325321297
2012-02-02,2012-02-01,1761572.4252349131,931.7552294334037,10221.12960508486,22846.14789765166,23777.90312708506
2012-02-03,2012-02-02,1771546.7818393642,970.9993928121233,10303.80016012559,22999.22420423772,23970.22359704984
2012-02-06,2012-02-03,1755826.284505969,920.1353466822605,10171.767999765225,22742.935514808225,23663.070861490487
2012-02-07,2012-02-06,1754337.1721265486,931.5022688211319,10140.98355113542,22659.953256045887,23591.45552486702
2012-02-08,2012-02-07,1764298.2298766763,960.5280088049781,10276.834285453626,22946.96358303009,23907.491591835067
2012-02-09,2012-02-08,1762367.6031276837,967.3834206152372,10218.283723315952,22803.89919546695,23771.28261608219
2012-02-10,2012-02-09,1759590.5457732487,954.2192433156196,10196.323487933982,22765.976225872288,23720.195469187907
2012-02-13,2012-02-10,1756044.2569392268,948.3126355887631,10147.019815233989,22657.185339431115,23605.497975019876
2012-02-14,2012-02-13,1758890.6827199226,953.9327546641305,10172.32434083656,22710.4323496949,23664.36510435903
2012-02-15,2012-02-14,1755859.3964538628,905.765382044404,10112.65063175744,22619.777916062285,23525.543298106688
2012-02-16,2012-02-15,1758908.7804245574,923.7512408171459,10154.137297119023,22698.3044730545,23622.055713871647
2012-02-17,2012-02-16,1758351.0107188823,919.3796893045171,10157.317283642165,22710.07377945472,23629.45346875924
2012-02-20,2012-02-17,1757112.2026964468,951.2854978918423,10093.495295055085,22529.695823400783,23480.981321292627
2012-02-21,2012-02-20,1759197.2806740585,956.0000497473742,10097.298104576766,22533.8279293914,23489.827979138772
2012-02-22,2012-02-21,1774717.8842965532,995.0295046340821,10299.65497855867,22965.55095809004,23960.580462724123
2012-02-23,2012-02-22,1785104.313213714,1071.4679393315853,10344.463352028366,22993.35238775299,24064.820327084577
2012-02-24,2012-02-23,1787640.1409653868,1075.2047699027391,10354.083982909917,23011.99649138007,24087.201261282808
2012-02-27,2012-02-24,1787340.4062685245,1038.4135001047882,10298.429009235457,22919.31493149064,23957.728431595428
2012-02-28,2012-02-27,1788610.4635367796,1031.3798545964646,10276.874601419464,22876.205526200018,23907.58538079648
2012-02-29,2012-02-28,1796858.7261989585,1068.9972611635285,10366.730403758727,23047.623974375136,24116.621235538663
2012-03-01,2012-02-29,1752266.6354167722,922.7037988566027,10098.950234520982,22570.96760926553,23493.671408122136
2012-03-02,2012-03-01,1760232.9045028705,923.4768189981619,10209.269727462546,22826.836106993847,23750.31292599201
2012-03-05,2012-03-02,1759634.7722944072,924.7889120807823,10192.24320863619,22785.914408037217,23710.703320118
2012-03-06,2012-03-05,1751514.8906697338,899.0765079781831,10155.067134180463,22725.14233036455,23624.218838342735
2012-03-07,2012-03-06,1735636.876621049,853.5198075360037,10018.064349649867,22451.982894276305,23305.502701812307
2012-03-08,2012-03-07,1739235.299558511,845.1611592293439,10062.490524318851,22563.69227957592,23408.853438805265
2012-03-09,2012-03-08,1749197.3213869613,867.5739544994611,10166.267017542921,22782.69970869303,23650.273663192493
2012-03-12,2012-03-09,1758062.6583860766,865.1955152624332,10225.254962242201,22922.30462767527,23787.5001429377
2012-03-13,2012-03-12,1748694.7831180755,843.6331758260412,10163.23385993444,22799.58430761233,23643.217483438373
2012-03-14,2012-03-13,1739282.7576303123,817.8273268309895,10054.118335894316,22571.549489231787,23389.376816062777
2012-03-15,2012-03-14,1719816.569922306,756.5809355768791,9948.017678379721,22385.968841442485,23142.549777019365
2012-03-16,2012-03-15,1727415.584885907,770.625961513837,10033.949870417593,22571.8319877645,23342.457949278338
2012-03-19,2012-03-16,1729941.553229253,817.2398233638809,10004.230901015237,22456.0814646266,23273.321287990482
2012-03-20,2012-03-19,1732224.0062172515,823.7501395563045,10026.45392865198,22501.269641531664,23325.01978108797
2012-03-21,2012-03-20,1725703.5528961618,797.2753415388368,9955.08704773623,22361.720247853853,23158.99558939269
2012-03-22,2012-03-21,1727687.159897871,791.0982239814404,9956.008858437539,22370.041817776506,23161.140041757946
2012-03-23,2012-03-22,1722504.8554838481,789.1262546841424,9913.678045293327,22273.537589909345,23062.663844593488
2012-03-26,2012-03-23,1733871.2656018534,794.5796082508514,10014.831936105606,22503.40337518474,23297.98298343559
2012-03-27,2012-03-26,1752949.1329649857,851.1946402328472,10211.620455170147,22904.586896164186,23755.781536397033
2012-03-28,2012-03-27,1750238.9454353005,834.2698521299527,10152.406792483738,22783.76010596238,23618.029958092335
2012-03-29,2012-03-28,1739201.97165287,807.2490232342794,10070.513631725034,22620.26895442856,23427.51797766284
2012-03-30,2012-03-29,1739140.3347039854,796.0451042703373,10055.134283571415,22595.695159511193,23391.740263781532
2012-04-02,2012-03-30,1742225.4324047393,795.0012078423981,10100.824241769287,22703.029793057773,23498.03100090017
2012-04-03,2012-04-02,1750245.1802363088,808.0670513513992,10158.056053501557,22823.105053099644,23631.17210445104
2012-04-04,2012-04-03,1731220.2467004645,789.9750258936554,10008.008238210838,22492.133662451346,23282.108688345
2012-04-05,2012-04-04,1715173.5041627574,753.2518304572051,9883.401551703833,22238.978357640954,22992.230188098158
