,pnl_linear,pnl_irs,pnl_straddle,pnl_total
2017-02-28,181.85254209539997,0.0,250.08158930580748,431.9341314012074
2017-03-01,1013.7148871629249,9820.929556512761,1451.1526497325208,12285.797093408208
2017-03-02,-6212.2077741485255,2942.5417584290626,-2027.5919611098489,-5297.257976829312
2017-03-03,-373.13980900747504,0.0,-836.9430761049017,-1210.0828851123767
2017-03-06,140.16500705072528,0.0,-528.6755759207296,-388.51056887000425
2017-03-07,-4100.8559885828745,2940.8196309855557,-511.0501267635357,-1671.0864843608545
2017-03-08,-3077.7498219897752,4897.543205935952,-154.92851264036744,1664.8648713058092
2017-03-09,-2204.45994068215,2936.2346752781377,195.56888593740496,927.3436205333928
2017-03-10,2683.338744959125,-1957.2989578428387,-319.5487525367895,406.49103457949684
2017-03-13,2167.910265925875,3913.8349848893777,-432.52172979843806,5649.223521016815
2017-03-14,-2952.22645160265,-1956.536027046539,-193.7222397025664,-5102.484718351755
2017-03-15,8041.535752295149,-8813.859837380056,705.0920086265933,-67.23207645831371
2017-03-16,2783.1684076700503,1959.9727327832588,-964.0326420700518,3779.1084983832575
2017-03-17,1640.9812285784749,-2940.2459244527927,-631.7135678140033,-1930.978263688321
2017-03-20,693.6395800825749,-2941.9675479081197,-510.3870169005802,-2758.7149847261253
2017-03-21,-340.3744827381247,-3925.3040926887843,-995.4636912225681,-5261.142266649477
2017-03-22,3407.4522498401,-2945.9905545250585,-187.7594093681978,273.70228594684386
2017-03-23,-1380.1923014229249,982.1886290401235,-345.6833250329794,-743.6869974157808
2017-03-24,214.906294079075,-982.1886290401235,-616.7389945889283,-1384.0213295499768
2017-03-27,3281.03334542095,-1964.952871654641,-768.2893231664423,547.7911505998666
2017-03-28,196.26264551704998,3929.1383334784914,-575.5299731163461,3549.8710058791958
