,VaR_COPULA,mean_correlation,cvm_pvalue
2013-01-28,18205.211418308798,-0.07090547543180048,0.422
2013-01-29,17683.716566031562,-0.07090547543180048,0.422
2013-01-30,17882.093373332584,-0.07090547543180048,0.422
2013-01-31,17558.008238106948,-0.07090547543180048,0.422
2013-02-01,17575.543876788044,-0.07090547543180048,0.422
2013-02-04,17511.984541011447,-0.07090547543180048,0.422
2013-02-05,18508.932894792462,-0.07090547543180048,0.422
2013-02-06,17993.851738861922,-0.07090547543180048,0.422
2013-02-07,17655.991836169844,-0.07090547543180048,0.422
2013-02-08,17900.05657981137,-0.07090547543180048,0.422
2013-02-11,17885.593064627436,-0.07090547543180048,0.422
2013-02-12,17611.6732390138,-0.07090547543180048,0.422
2013-02-13,18134.44621253496,-0.07090547543180048,0.422
2013-02-14,17651.70914168432,-0.07090547543180048,0.422
2013-02-15,18241.93479370917,-0.07090547543180048,0.422
2013-02-19,17997.278586154047,-0.07090547543180048,0.422
2013-02-20,17958.721409275473,-0.07090547543180048,0.422
2013-02-21,17906.041313530368,-0.07090547543180048,0.422
2013-02-22,17523.642215926535,-0.07090547543180048,0.422
2013-02-25,17211.946607921276,-0.07090547543180048,0.422
2013-02-26,17200.793705805263,-0.07090547543180048,0.422
2013-02-27,17352.675698555027,-0.07090547543180048,0.422
2013-02-28,17736.98021822609,-0.07090547543180048,0.422
2013-03-01,17470.85192706101,-0.07090547543180048,0.422
2013-03-04,18099.685574391777,-0.07090547543180048,0.422
2013-03-05,17411.174757085584,-0.07090547543180048,0.422
2013-03-06,18095.644079721827,-0.07090547543180048,0.422
2013-03-07,17468.894838216194,-0.07090547543180048,0.422
2013-03-08,17135.904071570814,-0.07090547543180048,0.422
2013-03-11,17359.92279638391,-0.07090547543180048,0.422
2013-03-12,17349.489505409165,-0.07090547543180048,0.422
2013-03-13,18060.178633345262,-0.07090547543180048,0.422
2013-03-14,17653.843122858823,-0.07090547543180048,0.422
2013-03-15,17433.711793042712,-0.07090547543180048,0.422
2013-03-18,17591.353976718718,-0.07090547543180048,0.422
2013-03-19,17099.678846101335,-0.07090547543180048,0.422
2013-03-20,17674.750190156694,-0.07090547543180048,0.422
2013-03-21,17968.148980802638,-0.07090547543180048,0.422
2013-03-22,17314.242212680496,-0.07090547543180048,0.422
2013-03-25,17697.32425537759,-0.07090547543180048,0.422
2013-03-26,17495.19797053341,-0.07090547543180048,0.422
2013-03-27,17625.604109682037,-0.07090547543180048,0.422
2013-03-28,18051.101041820955,-0.07090547543180048,0.422
2013-04-01,17585.79668224503,-0.07090547543180048,0.422
2013-04-02,17757.12566460488,-0.07090547543180048,0.422
2013-04-03,17795.599987659025,-0.07090547543180048,0.422
2013-04-04,17409.688001249266,-0.07090547543180048,0.422
2013-04-05,17911.82327246731,-0.07090547543180048,0.422
2013-04-08,18096.682980865255,-0.07090547543180048,0.422
2013-04-09,17836.39511564044,-0.07090547543180048,0.422
2013-04-10,17294.30418785742,-0.07090547543180048,0.422
2013-04-11,17487.12804989646,-0.07090547543180048,0.422
2013-04-12,17901.212236728745,-0.07090547543180048,0.422
2013-04-15,17451.057516203986,-0.07090547543180048,0.422
2013-04-16,17400.51012243644,-0.07090547543180048,0.422
2013-04-17,17616.373149869072,-0.07090547543180048,0.422
2013-04-18,17499.430205287623,-0.07090547543180048,0.422
2013-04-19,18217.4162000166,-0.07090547543180048,0.422
2013-04-22,17584.96585494347,-0.07090547543180048,0.422
2013-04-23,17269.170397527283,-0.07090547543180048,0.422
2013-04-24,17013.87193573855,-0.07090547543180048,0.422
2013-04-25,17723.71348735701,-0.07090547543180048,0.422
2013-04-26,17349.93386012405,-0.07090547543180048,0.422
2013-04-29,17418.935394115095,-0.07090547543180048,0.422
2013-04-30,17567.90748746233,-0.07090547543180048,0.422
2013-05-01,18279.300401681838,-0.07090547543180048,0.422
2013-05-02,18092.32033951763,-0.07090547543180048,0.422
