,snapshot_date,current_portfolio_value,VaR_HistSim,ES_HistSim,tail_scenarios,quantile_method,historical_window_mean_loss,historical_window_vol_loss,realised_loss,realised_pnl,exception
2023-07-18,2023-07-17,2877897.8506086417,65945.35095929401,70690.21167739462,5,empirical_order_statistic,-1343.0318712152448,25623.134620593224,-24549.215872376226,24549.215872376226,0
2023-07-19,2023-07-18,2902447.066481018,73483.99030917184,77753.64920370924,5,empirical_order_statistic,-1142.46397436867,26863.84085143986,-2001.2089585647918,2001.2089585647918,0
2023-07-20,2023-07-19,2904448.2754395828,75439.14698601142,79967.09949857369,5,empirical_order_statistic,-1052.9687093855757,27197.71587287125,14739.4221871919,-14739.4221871919,0
2023-07-21,2023-07-20,2889708.853252391,71473.35195010621,76034.36870662896,5,empirical_order_statistic,-1066.9331323476863,26702.426880272284,4773.534159608185,-4773.534159608185,0
2023-07-24,2023-07-21,2884935.3190927827,73377.69853014825,77833.96472543599,5,empirical_order_statistic,-970.604348437408,27012.0449444757,-5868.741496688221,5868.741496688221,0
2023-07-25,2023-07-24,2890804.060589471,78434.17272483045,82948.71913587162,5,empirical_order_statistic,-833.6654010962807,27572.07969388797,-12223.322015255224,12223.322015255224,0
2023-07-26,2023-07-25,2903027.382604726,81582.23622901645,86971.20101986956,5,empirical_order_statistic,-751.7751183045553,27919.536105717612,-1734.661442433484,1734.661442433484,0
2023-07-27,2023-07-26,2904762.0440471596,55145.728246363346,60063.89667040911,5,empirical_order_statistic,6948.81078984671,16663.17877185214,19424.874462604523,-19424.874462604523,0
2023-07-28,2023-07-27,2885337.169584555,42309.26339276321,45693.894565841554,5,empirical_order_statistic,-1187.0635483672972,17145.226931958936,-12968.760712509975,12968.760712509975,0
2023-07-31,2023-07-28,2898305.930297065,46130.092969342135,50520.767482873984,5,empirical_order_statistic,-1431.5485347359274,19113.90085151677,-7562.761289589573,7562.761289589573,0
2023-08-01,2023-07-31,2905868.6915866546,46875.43274217658,51503.79303162471,5,empirical_order_statistic,-1413.123894450591,19431.237349994994,10065.337568168063,-10065.337568168063,0
2023-08-02,2023-08-01,2895803.3540184866,45551.176115938,49851.723265627865,5,empirical_order_statistic,-1360.8164256037176,18857.268215333293,17289.126882945653,-17289.126882945653,0
2023-08-03,2023-08-02,2878514.227135541,40384.600010852795,43314.87958656,5,empirical_order_statistic,-975.8553166302545,16166.953015229832,292.06510272296146,-292.06510272296146,0
2023-08-04,2023-08-03,2878222.162032818,39148.76279162336,42044.80711438814,5,empirical_order_statistic,-1004.5430006399732,15724.586283778486,7087.041281532496,-7087.041281532496,0
2023-08-07,2023-08-04,2871135.1207512855,37535.174701497424,40425.29514045045,5,empirical_order_statistic,-877.968645957496,14957.9275319444,-8028.590500635561,8028.590500635561,0
2023-08-08,2023-08-07,2879163.711251921,40604.796873327345,43510.40569136003,5,empirical_order_statistic,-1099.3328643528428,16388.66532143893,14117.011577455793,-14117.011577455793,0
2023-08-09,2023-08-08,2865046.699674465,38620.393705947325,41393.469981582646,5,empirical_order_statistic,-987.1507932017735,15612.11365321019,14557.543100235052,-14557.543100235052,0
