,VaR_MC_T_COPULA
2011-02-02,42295.02022559197
2011-02-03,44525.08315152519
2011-02-04,43082.9273914052
2011-02-07,48370.45055886959
2011-02-08,45636.30617192085
2011-02-09,48884.64723086703
2011-02-10,44538.402974580706
2011-02-11,42194.22045555661
2011-02-14,49340.67336088199
2011-02-15,47501.535945584794
2011-02-16,44211.81253945992
2011-02-17,45019.783627514174
2011-02-18,48798.89600021853
2011-02-22,44645.60058823972
2011-02-23,50233.08687940361
2011-02-24,45325.31605625139
2011-02-25,42469.94487185936
2011-02-28,49968.85930289653
2011-03-01,48157.781463698724
2011-03-02,45429.89299680189
2011-03-03,44462.4766763342
2011-03-04,48002.19814975871
2011-03-07,47166.843359251245
2011-03-08,43496.46919702652
2011-03-09,44810.28157945279
2011-03-10,43243.61703790799
2011-03-11,40675.002088649926
2011-03-14,42308.99872102601
2011-03-15,43113.60571565351
2011-03-16,39778.549502994276
2011-03-17,44471.03307171425
2011-03-18,43503.915394498385
2011-03-21,40807.307352959266
2011-03-22,47515.23616670715
2011-03-23,41764.68415006037
2011-03-24,40793.83315953767
2011-03-25,40542.49222349634
2011-03-28,41747.181030739186
2011-03-29,42331.72617038647
2011-03-30,40296.37144454772
2011-03-31,42060.117331351415
2011-04-01,40681.75709744713
2011-04-04,43611.408006215126
2011-04-05,42996.55428444279
2011-04-06,42472.35415603763
2011-04-07,42917.39732584312
2011-04-08,45142.98202427111
2011-04-11,43069.18528875324
2011-04-12,39927.81733887934
2011-04-13,42029.43945329735
2011-04-14,39477.246631806236
2011-04-15,42425.89929318578
2011-04-18,44972.94438111263
2011-04-19,43151.11331844101
2011-04-20,42228.84005207492
2011-04-21,46352.55445345104
2011-04-25,42440.56542857958
2011-04-26,48906.263296218436
2011-04-27,47071.11058206107
2011-04-28,43748.87567824915
2011-04-29,49148.786797865265
2011-05-02,48839.43022397496
2011-05-03,48286.55116023632
2011-05-04,46456.22765053534
2011-05-05,48937.463658265064
2011-05-06,44714.17770659993
2011-05-09,45096.92316447753
2011-05-10,45010.84036656688
2011-05-11,46087.62170457334
2011-05-12,42266.3674466889
2011-05-13,44951.97323303215
2011-05-16,44491.853973494115
2011-05-17,47015.84866210504
2011-05-18,42749.08732250433
2011-05-19,44170.610942040235
2011-05-20,43625.38596469187
2011-05-23,44256.43202432807
2011-05-24,41179.41673642058
2011-05-25,45194.542909164586
2011-05-26,43410.8306655946
2011-05-27,41097.35305153156
2011-05-31,44097.6588207857
2011-06-01,40226.77138192181
2011-06-02,46490.58741816831
2011-06-03,44113.89587361543
2011-06-06,44671.604266910836
2011-06-07,43888.731227677396
2011-06-08,43114.742655555376
2011-06-09,41632.30082482054
2011-06-10,40497.767773939995
2011-06-13,38965.36873337953
2011-06-14,40819.32236008391
2011-06-15,42359.52468849149
2011-06-16,38857.52696890668
2011-06-17,44761.26154697029
2011-06-20,45904.68247282437
2011-06-21,44466.35631130822
2011-06-22,39448.489042255555
2011-06-23,42579.66712707234
2011-06-24,44444.88557289907
2011-06-27,41541.04745224389
2011-06-28,41304.31123905873
2011-06-29,39872.42323155363
2011-06-30,41058.00795931176
2011-07-01,38523.99683311826
2011-07-05,43353.1248374033
2011-07-06,40215.13827147283
2011-07-07,39567.192784502135
2011-07-08,44489.42177200095
2011-07-11,41133.344216917285
2011-07-12,39668.25591753394
2011-07-13,43193.125732735694
2011-07-14,45136.871393749716
2011-07-15,49126.251890047504
2011-07-18,48029.96177154025
2011-07-19,44505.62813805802
2011-07-20,43081.0310077527
2011-07-21,46092.01005721906
2011-07-22,49669.59893720512
2011-07-25,51377.28298079764
2011-07-26,45870.7648040987
2011-07-27,49658.292601199486
2011-07-28,44330.712939041
2011-07-29,43237.34389479681
2011-08-01,44949.78269934817
2011-08-02,45627.439652649475
2011-08-03,48662.477193182276
2011-08-04,45948.67049321723
2011-08-05,43228.71961464655
2011-08-08,41580.21331338477
2011-08-09,47265.15392595706
2011-08-10,43576.70238088204
2011-08-11,48664.330623224836
2011-08-12,42082.63438966103
2011-08-15,44643.75765611623
2011-08-16,43876.06122674436
2011-08-17,43075.31234827385
2011-08-18,50138.10836550376
2011-08-19,48048.40179270561
2011-08-22,46591.686788915526
2011-08-23,47463.00450928254
2011-08-24,45946.96347543635
2011-08-25,48964.9917138499
2011-08-26,46366.15242956153
2011-08-29,50287.24978888102
2011-08-30,49206.918100736904
2011-08-31,47687.96405450764
2011-09-01,47729.299321111845
2011-09-02,49207.10018370307
2011-09-06,48667.90549361202
2011-09-07,50814.421212099136
2011-09-08,51323.890337668905
2011-09-09,46938.98928364314
2011-09-12,46204.50842867564
2011-09-13,49916.744303055086
2011-09-14,47925.56316339529
2011-09-15,50244.76432256577
2011-09-16,51433.15005609872
2011-09-19,49713.602703843724
2011-09-20,49672.606817217464
2011-09-21,51775.74286965527
2011-09-22,48541.34464106871
2011-09-23,49709.26735136771
2011-09-26,43370.810906011844
2011-09-27,46392.62878393812
2011-09-28,46879.207660035456
2011-09-29,42003.91574071542
2011-09-30,45894.406429154405
2011-10-03,46049.31019813236
2011-10-04,46752.11482263568
2011-10-05,43690.40320675854
2011-10-06,44757.68913438625
2011-10-07,48888.56744600552
2011-10-10,46624.940891046565
2011-10-11,44699.26663833939
2011-10-12,46781.162936997694
2011-10-13,46151.70228194524
2011-10-14,48921.09789516518
2011-10-17,51090.29916129674
2011-10-18,45745.46980865345
2011-10-19,48836.37698520435
2011-10-20,44575.77336073001
2011-10-21,45346.75976227251
2011-10-24,47599.551948473054
2011-10-25,46696.413700903715
2011-10-26,46733.57283464208
2011-10-27,46756.891630179554
2011-10-28,51559.49002631089
2011-10-31,49369.59333153853
2011-11-01,45657.31293520481
2011-11-02,47645.19456069822
2011-11-03,47651.83461159975
2011-11-04,47863.79813450919
2011-11-07,48539.55394855565
2011-11-08,49145.29621699636
2011-11-09,52078.73637573202
2011-11-10,52408.773491417196
2011-11-11,48691.358857872096
2011-11-14,49492.2412691235
2011-11-15,47561.27999271946
2011-11-16,50312.810653432374
2011-11-17,51016.09762945632
2011-11-18,44645.898235012006
2011-11-21,45476.3760136697
2011-11-22,40702.453663743545
2011-11-23,42644.93947131927
2011-11-25,38814.635431954186
2011-11-28,39241.431613374356
2011-11-29,43414.26345864983
2011-11-30,43376.86517461848
2011-12-01,41341.411745404126
2011-12-02,42539.778664654805
2011-12-05,41617.78228127905
2011-12-06,45982.8898043127
2011-12-07,43598.91112236545
2011-12-08,45713.71765255164
2011-12-09,45811.954846431036
2011-12-12,42852.177252128124
2011-12-13,42915.893331396415
2011-12-14,42023.863049975
2011-12-15,42935.84979947187
2011-12-16,40054.31203002398
2011-12-19,43567.041584007326
2011-12-20,43519.43229355482
2011-12-21,41800.02153447874
2011-12-22,44900.9181889542
2011-12-23,44596.48836701838
2011-12-27,45656.836342811905
2011-12-28,48423.052337170426
2011-12-29,41551.8975132094
2011-12-30,46365.636731208615
2012-01-03,43702.505626763
2012-01-04,40819.26794559608
2012-01-05,40618.9313872189
2012-01-06,38255.41410953804
2012-01-09,37516.75720743309
2012-01-10,35876.56340542278
2012-01-11,39220.961672362886
2012-01-12,37345.23093043468
2012-01-13,39123.63498846441
2012-01-17,38895.95782956328
2012-01-18,39469.54860917793
2012-01-19,39613.582364099886
2012-01-20,45383.63901802349
2012-01-23,39776.6333904204
2012-01-24,41086.92785841194
2012-01-25,39721.19699160774
2012-01-26,40366.36871428245
2012-01-27,42576.688618926455
2012-01-30,41927.52846463216
2012-01-31,42350.946597699156
2012-02-01,44078.73642655266
2012-02-02,41665.44016804694
2012-02-03,44178.20196596993
2012-02-06,44011.82261007707
2012-02-07,45553.27584489721
2012-02-08,44379.669465604995
2012-02-09,44782.3805335144
2012-02-10,44610.92183640172
2012-02-13,44986.85296806545
2012-02-14,43950.79068875857
2012-02-15,46489.879372778756
2012-02-16,38910.4391010949
2012-02-17,38504.684120246064
2012-02-21,41204.64643669224
2012-02-22,39627.85496084927
2012-02-23,39925.248715313865
2012-02-24,41506.64677330548
2012-02-27,42676.29713072466
2012-02-28,40785.175408316725
2012-02-29,38665.70093998846
2012-03-01,41470.144210283885
2012-03-02,41266.68286115271
2012-03-05,40581.86587541271
2012-03-06,37778.75620545009
2012-03-07,38423.52189953638
2012-03-08,40771.537149763506
2012-03-09,40136.25637104058
2012-03-12,40116.31618408224
2012-03-13,43181.16279408059
2012-03-14,44523.06519523337
2012-03-15,40370.055846127114
2012-03-16,42146.76725787337
2012-03-19,42047.112268151
2012-03-20,42930.390037950434
2012-03-21,39697.65870763156
2012-03-22,40471.46655185976
2012-03-23,41535.23915441452
2012-03-26,42187.83731573609
2012-03-27,44771.13337311428
2012-03-28,43403.665149000786
2012-03-29,43499.44159945029
2012-03-30,37247.863803160144
2012-04-02,36812.71405983634
2012-04-03,36386.5362820636
2012-04-04,37640.5537351397
2012-04-05,37972.556436940635
