,VaR_MC,mean_pnl_sim,std_pnl_sim
2022-05-05,11398.20281048639,-12.064893282643158,4861.18441896557
2022-05-06,11097.100155746444,23.33599111455416,4826.99024090801
2022-05-09,12569.13179223499,-365.40085714426283,5530.437235682966
2022-05-10,12299.715547778627,-363.68817080116935,5331.126750348602
2022-05-11,12741.899127053044,-330.0974132791884,5401.951123771601
2022-05-12,12599.000039865103,-377.4939609421181,5395.1565909500305
2022-05-13,11169.808007221356,-241.91225329864938,4832.064016314918
2022-05-16,11109.684945599023,-264.52510766430635,4819.210766250119
2022-05-17,10545.637128758925,-116.60310854610938,4489.591165774923
2022-05-18,12265.724892823717,-392.1396867187612,5281.651404875018
2022-05-19,12303.834464717927,-312.0744770054043,5229.119057806017
2022-05-20,12359.43277319964,-366.5844154922526,5260.45093283858
2022-05-23,11344.00861418292,-387.5144204147669,4905.395481004177
2022-05-24,11861.428876359898,-441.336036278202,5101.665204523405
2022-05-25,11255.24896787682,-416.2431741033911,4888.692016327094
2022-05-26,10747.799536392378,-392.03153790851616,4420.414990000347
2022-05-27,10754.5451864559,-255.80834075219556,4599.517880271685
2022-05-31,10487.67212436805,-309.34577308509637,4433.5011698624885
2022-06-01,10090.980824674427,-449.3304509709344,4163.007146671002
2022-06-02,10892.437253249265,-70.37412796801496,5072.10240811314
2022-06-03,9981.447522120467,-384.16817570097095,4200.3619867357
2022-06-06,10457.53300048439,-556.9868228988869,4280.463750046816
2022-06-07,10416.572282350808,-383.4692626326402,4856.9584988500155
2022-06-08,10292.849433700141,-595.0701573293369,4259.820713792505
2022-06-09,12344.264763254863,-704.3023529964213,5266.47620762934
2022-06-10,14240.634673861025,-19.74275100500984,6097.050321504429
2022-06-13,13810.756645567033,240.2714060327476,5982.434683404912
2022-06-14,14242.773979530362,144.31385653076143,6181.835685430167
2022-06-15,11055.680200613258,71.0973197279354,4829.311226613931
2022-06-16,11915.526009386169,-155.44215304259538,5192.427045630575
2022-06-17,11557.175686281655,-97.09393928792616,5022.277051268021
2022-06-21,11345.029537856932,10.552871666361602,4800.202453459553
2022-06-22,10928.672024031213,23.601352650706797,4720.7308197638395
2022-06-23,11108.118505027529,61.40234300175303,4827.116761677012
2022-06-24,12516.114660031075,413.6581273496825,5870.503361421799
2022-06-27,12364.444025034478,279.0000355524593,5763.359955189512
2022-06-28,11065.666033010908,-2.000720606001411,4865.920602546891
2022-06-29,11258.43267672557,111.27868154011182,4898.4831298844
2022-06-30,11002.75125085756,-67.27682596344401,4741.944132171488
2022-07-01,11174.235110658767,101.30398770787967,5099.462200431261
2022-07-05,11843.611477658129,6.133084608389798,5181.006809351275
2022-07-06,11813.92165688237,108.40204635830244,5463.122909627566
2022-07-07,13548.11322944849,228.61385630456405,6484.687213558643
2022-07-08,14269.454110507837,321.9916289858928,6819.073106211077
2022-07-11,12222.18761946133,65.57958009177977,5738.627271113561
2022-07-12,11705.88806794675,-170.23343651890536,5230.632294344392
2022-07-13,11606.876471817106,-260.11199047274414,5080.411453538567
2022-07-14,11048.537727209172,-268.04216788171294,4970.0011829962705
2022-07-15,13695.719195328656,96.15910074451422,6676.4081212048295
2022-07-18,12486.436000480378,-166.2929810102172,5930.7928781691935
2022-07-19,17790.913106791908,213.24463804348096,8928.47723457384
2022-07-20,20473.52854027516,454.88752413323596,10294.597321483536
2022-07-21,24654.634752070397,684.9164290984439,11473.092296750734
2022-07-22,22317.1513111963,593.0073263653951,11131.727094884809
2022-07-25,23790.852199405257,505.77249524786026,11582.556766534424
2022-07-26,21996.633103054795,258.4440075133855,11058.921791295335
2022-07-27,28555.16774754685,359.9118207162224,12588.085722235359
2022-07-28,28419.127512347775,827.5556377143153,12545.407397016097
2022-07-29,11070.128003945703,295.6109945804201,4987.136733240369
2022-08-01,10898.274425537664,232.43535692016812,4941.359829207336
2022-08-02,10982.228665459977,4.440268547711232,4841.477017663182
2022-08-03,11508.098731577553,347.61223701140125,5223.826082982711
2022-08-04,11816.586125197615,290.47531313777193,5275.927807645924
2022-08-05,11373.533321250754,313.29483918681166,5191.9176040640905
2022-08-08,11218.445314845048,324.6630613240152,5062.478236323322
2022-08-09,10988.123480366748,224.70179306087667,4930.400026968919
2022-08-10,12783.895119282548,714.0947695652601,6403.813592731979
2022-08-11,12497.567986330756,635.231220817496,6363.788047642772
2022-08-12,15942.698078439722,747.6249155054886,8213.948032322929
2022-08-15,16847.28733127036,935.2154322696259,8631.987791196474
2022-08-16,17352.42164012263,829.7302871440412,8974.979877498143
2022-08-17,15812.625563101496,791.9173811488828,8261.58378301672
2022-08-18,17118.730362339276,848.9776107568902,8869.064443470468
2022-08-19,14226.845922063172,650.6246374293136,7300.167206569274
