,VaR_MC_GARCH_COPULA_V3
2012-10-03,38539.08343920185
2012-10-04,40018.99962808862
2012-10-05,39202.943138246825
2012-10-08,38371.56530493795
2012-10-09,36567.77820263451
2012-10-10,38034.40133912311
2012-10-11,37695.3773843571
2012-10-12,37288.1506114895
2012-10-15,39161.87780457076
2012-10-16,39448.24712713571
2012-10-17,38502.42095504375
2012-10-18,35783.38804195576
2012-10-19,34485.648267447716
2012-10-22,38641.301494855106
2012-10-23,36204.342338419396
2012-10-24,38480.11823332789
2012-10-25,37523.41121962442
2012-10-26,36873.248168096434
2012-10-31,35744.62674377671
2012-11-01,35551.51702849127
2012-11-02,34200.56942178987
2012-11-05,40400.079459100096
2012-11-06,37416.01165203302
2012-11-07,36467.66666000887
2012-11-08,37489.08060075313
2012-11-09,36380.91126285193
2012-11-12,35227.72489193778
2012-11-13,34304.22506564658
2012-11-14,33987.44005682616
2012-11-15,32331.887441936644
2012-11-16,34110.81223129723
2012-11-19,32736.20847729615
2012-11-20,35517.75968311845
2012-11-21,34173.71500390509
2012-11-23,34485.44959953318
2012-11-26,35265.62220589188
2012-11-27,34096.832303044524
2012-11-28,33839.295485722476
2012-11-29,33523.85129517554
2012-11-30,33622.54639015837
2012-12-03,35186.953751083536
2012-12-04,34645.31410972706
2012-12-05,36203.9589290473
2012-12-06,34484.86339648155
2012-12-07,34730.79416733443
2012-12-10,34003.450328288556
2012-12-11,33025.34953727565
2012-12-12,33911.966075781136
2012-12-13,32067.4256427987
2012-12-14,33373.050346897726
2012-12-17,32755.345907868865
2012-12-18,33883.16973592363
2012-12-19,33681.33987160615
2012-12-20,33285.05679386088
2012-12-21,32671.329571954855
2012-12-24,32281.656261028704
2012-12-26,32911.1531562521
2012-12-27,31467.223012240353
2012-12-28,30866.38752178842
2012-12-31,30893.0447030812
2013-01-02,36710.07526479154
2013-01-03,37413.563286189295
2013-01-04,41034.70225320864
2013-01-07,40350.24718631874
2013-01-08,38950.15324978422
2013-01-09,40031.907560201325
2013-01-10,40451.66587850356
2013-01-11,39304.23262058051
2013-01-14,39033.426889784074
2013-01-15,39259.66068018128
2013-01-16,34121.1252349628
2013-01-17,33289.72173796914
2013-01-18,31532.229435767353
2013-01-22,32097.535974295362
2013-01-23,32672.261675793503
2013-01-24,31850.729877304904
2013-01-25,33497.745785258565
2013-01-28,33147.625272198755
2013-01-29,34426.12132553522
2013-01-30,32969.97100672456
2013-01-31,32174.357143561025
2013-02-01,33233.60557911341
2013-02-04,31320.112360889347
2013-02-05,31642.86005905595
2013-02-06,32434.555774171666
2013-02-07,31480.35292897771
2013-02-08,32216.943898215042
2013-02-11,32494.751674486957
2013-02-12,33974.006076427315
2013-02-13,34213.94241189244
2013-02-14,34311.915449431086
2013-02-15,33914.97612270573
2013-02-19,36825.465675071784
2013-02-20,35029.47811152065
2013-02-21,38582.53517468853
2013-02-22,41022.391030227314
2013-02-25,36602.760213389185
2013-02-26,37650.47988171237
2013-02-27,39598.115836116616
2013-02-28,38643.11849941066
2013-03-01,35901.17377247402
2013-03-04,35580.46865427578
2013-03-05,33439.43653529847
2013-03-06,33928.10822412774
2013-03-07,34014.08241047292
2013-03-08,34296.47790886737
2013-03-11,32748.31278651601
2013-03-12,33112.82992803729
2013-03-13,32962.909067490684
2013-03-14,33490.10224650119
2013-03-15,29398.92592754384
2013-03-18,31991.609244763175
2013-03-19,25012.979029102513
2013-03-20,26506.67635631052
2013-03-21,27533.185181559336
2013-03-22,28282.00607109681
2013-03-25,27778.039947706795
2013-03-26,28672.757991903047
2013-03-27,28330.178684332986
2013-03-28,29517.766280558728
2013-04-01,29749.254150648303
2013-04-02,30422.57118264798
2013-04-03,29312.955244512625
2013-04-04,32257.189140549297
2013-04-05,32221.44066003132
2013-04-08,36352.24611521556
2013-04-09,36801.65610869115
2013-04-10,36648.421693043856
2013-04-11,37567.592042914024
2013-04-12,35804.893120137414
2013-04-15,38869.23142394681
2013-04-16,64842.91134471256
2013-04-17,63898.33709730981
2013-04-18,60834.69568583258
2013-04-19,60452.425558370385
2013-04-22,60650.06842456057
2013-04-23,59837.334312272986
2013-04-24,57218.167497494775
2013-04-25,56657.70832052963
2013-04-26,54641.064215261285
2013-04-29,56390.47831797913
2013-04-30,54998.644801644805
2013-05-01,50753.25502205938
2013-05-02,51614.404985106805
2013-05-03,50779.39275145425
2013-05-06,51019.59293418056
2013-05-07,48879.71008103186
2013-05-08,49972.6310649059
2013-05-09,48212.033295541434
2013-05-10,49321.323710785444
2013-05-13,48091.49494294529
2013-05-14,47303.766221744794
2013-05-15,46813.51415416548
