,pnl_irs,pnl_straddle
2007-03-29,1881.7190157242876,15.32389131373435
2007-03-30,940.5897918064729,-305.0139885919023
2007-04-02,0.0,-61.602245509980946
2007-04-03,1880.6404091834847,974.4436653155617
2007-04-04,-940.2303593591205,13.314736104874214
2007-04-05,1880.2810797500715,329.83902949740343
2007-04-09,6575.329473253194,120.18559171312049
2007-04-10,-1877.7686547997582,54.52549661825046
2007-04-11,938.9739669194096,-699.6801076517941
2007-04-12,0.0,597.1222980545842
2007-04-13,1877.4101480616082,756.376342821925
2007-04-16,-1877.4101480616082,1829.1379695296187
2007-04-17,-4696.663652472576,500.36517567280293
2007-04-18,-2820.1522126503405,210.690409444382
2007-04-19,1880.2810797500715,-97.51112009483975
2007-04-20,0.0,1915.0116354617915
2007-04-23,-1880.2810797500715,-826.9584147055333
2007-04-24,-2821.7694269556378,45.50634719195301
2007-04-25,2821.7694269556378,1876.093383083898
2007-04-26,2820.1522126503405,200.68608817912548
2007-04-27,1879.2037091394595,-207.60095218481746
2007-04-30,-7521.125348745438,529.7785722634814
2007-05-01,940.7695853248006,-461.16708101033055
2007-05-02,940.5897918064729,-104.80872110980499
2007-05-03,2820.6911295744358,229.86299599554627
2007-05-04,-2820.6911295744358,98.3776271796728
2007-05-07,-940.5897918064729,-5.5292636394526085
2007-05-08,-940.7695853248006,-229.45314208669743
2007-05-09,3761.9997863147582,-27.71987705259704
2007-05-10,-1880.6404091834847,-650.1433537957837
2007-05-11,1880.6404091834847,205.78752467295658
2007-05-14,1879.92185329122,75.23364043109382
2007-05-15,1879.2037091394595,-120.65003199931823
2007-05-16,0.0,319.5712819287593
2007-05-17,4694.870091394725,-371.7519082288945
2007-05-18,4690.390680946002,738.5149656023913
2007-05-21,-1875.6191534913378,-72.98412589928205
2007-05-22,3750.522626680002,-316.7344901644711
2007-05-23,2811.0142050099967,-81.70118915915481
2007-05-24,0.0,-1124.4956623415235
2007-05-25,0.0,132.83829527861002
2007-05-29,1873.1160635086708,397.9228753131672
2007-05-30,0.0,1147.4711749716314
2007-05-31,1872.4018152481876,-286.20980687170317
2007-06-01,4677.882381686999,851.4310011776356
2007-06-04,-1870.6179808976303,-34.64452509316196
2007-06-05,4675.208541989123,-885.4332735832742
2007-06-06,-934.6854002304317,-2111.4928758127967
2007-06-07,13069.411344559107,-2249.364237342494
2007-06-08,932.1972907414311,879.5022682705387
2007-06-11,1863.862606616487,148.77193779895137
2007-06-12,11168.301569876523,523.141709063978
2007-06-13,-5580.965908064682,-544.8373964920847
2007-06-14,2791.278492268786,-143.78928699255766
2007-06-15,-6515.460510037898,611.9720723445355
2007-06-18,-931.4882269835798,-490.49425996290097
2007-06-19,-5592.652123870706,-50.32963033691118
2007-06-20,4660.986706811556,-765.205967171454
2007-06-21,1863.1536440427299,99.74739699446644
2007-06-22,-1863.1536440427299,-175.66712336542167
2007-06-25,-4660.986706811556,15.774880825745186
2007-06-26,932.5521262685943,659.2086769163359
2007-06-27,-932.5521262685943,-1383.951377851119
2007-06-28,2797.1241001950693,-195.16595812012838
2007-06-29,-8396.166000842553,108.80057965752599
2007-07-02,-2801.9205397097685,136.19185532266442
2007-07-03,4668.978490967973,17.65090753663401
2007-07-05,10256.124300243566,-124.00157142533175
2007-07-06,2793.4020458406885,221.34045300871463
2007-07-09,-2793.4020458406885,40.48507981071481
2007-07-10,-12123.18225150177,-1018.4482624533543
2007-07-11,5599.041900647484,86.31359413112705
2007-07-12,3729.14404911382,1801.7868108980829
2007-07-13,-1864.2172396601818,349.4319070053109
2007-07-16,-5596.910758842918,-116.40823908209619
2007-07-17,2799.2543293774943,-229.99322623187447
2007-07-18,-5600.107928034762,-465.0705145088594
2007-07-19,1867.4134966930142,653.6264011091397
2007-07-20,-7473.923987145448,-2144.428975500908
2007-07-23,934.8635033935134,484.9876933689776
2007-07-24,-2805.125023332861,-3632.338927574696
2007-07-25,-1870.974543774675,-406.21661312718516
2007-07-26,-12178.74268588738,1552.6450588466646
2007-07-27,937.899062392331,2681.0715792997544
2007-07-30,1875.2612621272856,-2800.940322184033
2007-07-31,-3751.238409447222,1796.9940672272314
2007-08-01,-1876.6934425270592,-441.72621512842625
2007-08-02,938.4362838024972,-1841.9495387767313
2007-08-03,-5633.306375197222,3459.592029849169
2007-08-06,939.3326790957071,-2507.934293151898
2007-08-07,4693.973696101515,-1488.9947429574022
2007-08-08,6564.041354807996,-766.0848782702203
2007-08-09,-4687.706111155829,3448.5292623891437
2007-08-10,1875.6191534913378,813.6306143240333
2007-08-13,-2813.697238418943,-1219.1306867364133
2007-08-14,-4693.077557508077,1633.5696412812126
2007-08-15,-3757.689685553167,2249.0909340141698
2007-08-16,-8465.30967235146,-1121.0285625201025
2007-08-17,7525.438539451192,-2484.259341022799
2007-08-20,-3761.2809213809087,-1310.6556554510435
2007-08-21,-3764.157618070283,-775.7161138066664
2007-08-22,2823.3880327454826,-2175.131630184531
2007-08-23,-940.949430399487,-251.57058574697544
2007-08-24,940.949430399487,-1986.932253999207
2007-08-27,-2823.3880327454826,1093.3123625439123
2007-08-28,-6594.207816139155,3439.2598297480213
2007-08-29,3769.199784522527,-3523.9371861242253
2007-08-30,-5654.88164017041,229.3465105434045
2007-08-31,2828.252215001965,-1992.7334208829918
2007-09-04,1884.5998405371793,-1893.343936405234
2007-09-05,-7542.7284582603315,987.1940263721797
2007-09-06,2829.8764027211873,-533.0123190279323
2007-09-07,-12274.545970594801,959.0385245836046
2007-09-10,-3782.93684666061,398.9125677621814
2007-09-11,2837.47447581515,-1427.909088000959
2007-09-12,3780.762849108374,-392.9431183291143
2007-09-13,7552.84177550851,-217.38957589234076
2007-09-14,-1887.125992583693,-184.1101547049533
2007-09-17,943.6533066858829,394.48120211764603
2007-09-18,1886.7648028605036,-1672.0984637393883
2007-09-19,2828.7934555085667,266.2879371374771
2007-09-20,15059.517488490616,-776.2806625970882
2007-09-21,-4701.152054281178,-514.1803691696296
2007-09-24,-940.7695853248006,-270.44274114482647
2007-09-25,0.0,-706.1480285362265
2007-09-26,0.0,67.23301559960504
2007-09-27,-4706.546634556871,444.31636582235967
2007-09-28,941.6693266539078,-396.9730206972599
2007-10-01,-2825.5483410904126,1501.215865738999
2007-10-02,-1884.5998405371793,-274.4787914148503
2007-10-03,942.39004938578,-458.00568372774467
2007-10-04,-942.39004938578,16.60825710050773
2007-10-05,10356.384866661829,1953.5858108062882
2007-10-08,0.0,-1154.0651179206236
2007-10-09,1880.6404091834847,1813.0695686208041
2007-10-10,-1880.6404091834847,-416.3304140250865
2007-10-11,940.4100498243643,-1059.265409940135
