,VaR_full,VaR_no_drift,mu_deltaV,sigma_deltaV
2018-03-01,8601.566803813674,8933.146343898816,331.57954008514184,3839.987322438599
2018-03-02,8687.6946557031,9002.667234269851,314.9725785667515,3869.8714559109844
2018-03-05,8662.862685127355,8995.554539201597,332.6918540742433,3866.814004724245
2018-03-06,8658.823219721398,9006.040293403918,347.21707368251964,3871.3213934597516
2018-03-07,8618.859850934361,8988.010860284921,369.15100935055995,3863.571291542414
2018-03-08,8614.790486215199,8972.89636616468,358.1058799494797,3857.0742004199296
2018-03-09,8599.465767517228,8966.735662658008,367.2698951407809,3854.4259707310607
2018-03-12,8583.918814575549,8941.405823968022,357.48700939247266,3843.537728704735
2018-03-13,8584.352114129326,8940.502335326413,356.1502211970873,3843.1493565907913
2018-03-14,8585.051121469038,8921.065784433937,336.0146629648984,3834.794393384573
2018-03-15,8574.361983303954,8901.11670414315,326.7547208391978,3826.2191151497946
2018-03-16,8563.613742648384,8894.984997527079,331.3712548786949,3823.583350015743
2018-03-19,8570.519319685473,8898.408976259398,327.8896565739247,3825.055175777713
2018-03-20,8611.119286020712,8917.287064642325,306.16777862161393,3833.1700792251227
2018-03-21,8574.767806847012,8863.660841808385,288.89303496137364,3810.118400913232
2018-03-22,8573.136347931386,8865.251711896604,292.11536396521757,3810.802249664303
2018-03-23,8627.727122698196,8907.250691359557,279.5235686613613,3828.855860618885
2018-03-26,8667.31927119011,8936.924217079717,269.60494588960626,3841.6112726753877
2018-03-27,8704.089226063172,9001.304184502951,297.2149584397794,3869.285537621587
2018-03-28,8717.9616857822,9008.036718073938,290.0750322917376,3872.1795732239634
2018-03-29,8725.726857942185,9006.25146584884,280.5246079066541,3871.412167693166
2018-03-30,8693.27882304684,8998.174546505328,304.89572345848836,3867.940236674749
2018-04-02,8694.057673745689,8998.270965636895,304.2132918912074,3867.981683241121
2018-04-03,8731.309054047193,9007.410282316298,276.1012282691054,3871.910294598599
2018-04-04,8706.094916006146,8997.835040259015,291.7401242528692,3867.7942970884546
2018-04-05,8672.2889825892,8979.416674013639,307.12769142443864,3859.8770090289595
2018-04-06,8670.361620715892,8983.682581158717,313.3209604428256,3861.710744728027
2018-04-09,8708.24872785568,9004.612286247035,296.363558391355,3870.707552695514
2018-04-10,8697.691873656262,9008.32033867797,310.62846502170834,3872.301489901687
2018-04-11,8686.23428785432,8993.423774485236,307.189486630915,3865.898077772761
2018-04-12,8663.686508010069,8979.371124442634,315.6846164325654,3859.8574291666723
2018-04-13,8659.945579552079,8977.946797098746,318.00121754666804,3859.2451702006847
2018-04-16,8638.380688704203,8965.94364973077,327.56296102656694,3854.0855173809514
2018-04-17,8636.494172106102,8960.718600244598,324.22442813849557,3851.839486361912
2018-04-18,8620.288564477512,8963.689121510299,343.4005570327858,3853.1163896569215
2018-04-19,8598.248482654075,8951.657926067815,353.4094434137412,3847.9446801388667
2018-04-20,8585.673468395318,8942.55072594451,356.8772575491915,3844.02987435039
2018-04-23,8616.07852334002,8956.134427188821,340.0559038488005,3849.8689414116357
2018-04-24,8623.857753924853,8961.13423875004,337.27648482518896,3852.0181520335773
2018-04-25,8649.220063200093,8971.532516055882,322.31245285578905,3856.487938096906
2018-04-26,8654.33600027,8970.380480001108,316.04447973110905,3855.9927258083094
2018-04-27,8654.339030839019,8971.714458266028,317.3754274270077,3856.566147470566
2018-04-30,8648.68043928344,8969.88753075922,321.20709147578117,3855.7808274729887
2018-05-01,8660.561000182293,8977.23219190238,316.67119172008654,3858.937991208093
2018-05-02,8672.478430349145,8980.368931313162,307.89050096401604,3860.286344756496
2018-05-03,8678.722225990501,8983.023703426723,304.30147743622206,3861.4275206499146
2018-05-04,8678.083493207703,8983.0788144544,304.9953212466966,3861.451210583949
2018-05-07,8671.491722339066,8973.663187140282,302.1714648012171,3857.4038247999115
2018-05-08,8665.056305504713,8958.388529416909,293.3322239121951,3850.8378860192934
