,VaR_EVT,VaR_EVT_raw,VaR_EVT_mle_raw,xi,xi_raw,xi_clamped,sigma_gpd,N_u,f_u_hat,threshold_u,ks_pvalue,fallback_type,ES_EVT,ES_EVT_raw,ES_EVT_mle_raw,ES_fallback_type
2009-07-22,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-23,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-24,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-27,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-28,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-29,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-30,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-07-31,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-08-03,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-08-04,32150.195474278327,32150.195474278327,32150.195474278327,0.07037936484164709,0.07037936484164709,False,7376.720951835184,50,0.9,13710.920412435387,0.9916707428595423,none,41481.38401588218,41481.38401588218,41481.38401588218,none
2009-08-05,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-06,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-07,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-10,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-11,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-12,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-13,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-14,32058.496755021664,32058.496755021664,32058.496755021664,0.08520540405592093,0.08520540405592093,False,7239.1560566966655,50,0.9,13642.185998357305,0.9993066705680964,none,41687.24324630079,41687.24324630079,41687.24324630079,none
2009-08-17,32073.024788453964,32073.024788453964,32073.024788453964,0.0807203336734523,0.0807203336734523,False,7256.407208078061,50,0.9,13710.920412435387,0.9857781010851339,none,41578.94852456421,41578.94852456421,41578.94852456421,none
2009-08-18,32026.322085842527,32026.322085842527,32026.322085842527,0.08651881486770946,0.08651881486770946,False,7140.626147044453,50,0.9,13832.27468581701,0.9449492983992186,none,41566.47869506652,41566.47869506652,41566.47869506652,none
2009-08-19,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-20,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-21,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-24,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-25,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-26,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-27,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
2009-08-28,32052.664626655962,32052.664626655962,32052.664626655962,0.08394466162469405,0.08394466162469405,False,7220.657661684851,50,0.9,13710.920412435387,0.9835370594489403,none,41615.7868599606,41615.7868599606,41615.7868599606,none
